@relation BOOKKEEPER_3-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.2.0}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
4.2.0,123,1,0,123,123,15,15,15,123,false
4.2.0,43,1,0,43,43,15,15,15,43,false
4.2.0,47,1,0,47,47,15,15,15,47,false
4.2.0,77,1,0,77,77,15,15,15,77,false
4.2.0,130,5,1,126,54,85,47,17,25.2,true
4.2.0,44,1,0,44,44,15,15,15,44,false
4.2.0,59,2,0,58,58,31,16,15.5,29,false
4.2.0,56,8,2,16,10,138,47,17.25,2,true
4.2.0,110,9,5,44,22,160,47,17.777779,4.888889,true
4.2.0,109,3,1,106,62,33,15,11,35.333332,true
4.2.0,103,6,1,58,37,53,16,8.833333,9.666667,true
4.2.0,950,5,1,933,684,59,21,11.8,186.6,true
4.2.0,87,3,1,10,9,115,79,38.333332,3.333333,true
4.2.0,17,2,0,8,5,26,21,13,4,false
4.2.0,56,2,0,56,55,57,47,28.5,28,false
4.2.0,64,2,0,64,63,57,47,28.5,32,false
4.2.0,19,3,0,5,4,129,79,43,1.666667,false
4.2.0,271,5,3,44,35,141,79,28.2,8.8,true
4.2.0,127,5,3,93,39,136,79,27.2,18.6,true
4.2.0,295,15,7,214,116,191,47,12.733334,14.266666,true
4.2.0,21,2,0,8,8,126,79,63,4,false
4.2.0,65,3,1,61,59,138,79,46,20.333334,true
4.2.0,51,4,2,19,15,159,79,39.75,4.75,true
4.2.0,23,2,0,2,2,71,47,35.5,1,false
4.2.0,33,3,0,15,15,147,79,49,5,false
4.2.0,48,6,1,12,8,184,79,30.666666,2,true
4.2.0,37,3,1,28,28,139,79,46.333332,9.333333,true
4.2.0,323,9,4,237,179,220,79,24.444445,26.333334,true
4.2.0,180,6,0,162,79,105,47,17.5,27,false
4.2.0,45,1,0,45,45,47,47,47,45,false
4.2.0,33,2,1,32,32,59,47,29.5,16,true
4.2.0,152,2,0,152,129,72,47,36,76,false
4.2.0,68,2,1,65,65,59,47,29.5,32.5,true
4.2.0,198,4,0,114,74,103,47,25.75,28.5,false
4.2.0,179,2,0,89,87,71,47,35.5,44.5,false
4.2.0,78,5,0,35,25,136,47,27.2,7,false
4.2.0,103,4,0,98,72,103,47,25.75,24.5,false
4.2.0,275,5,1,106,97,137,47,27.4,21.2,true
4.2.0,102,4,0,97,72,103,47,25.75,24.25,false
4.2.0,80,5,1,9,4,137,47,27.4,1.8,true
4.2.0,84,1,0,84,84,47,47,47,84,false
4.2.0,228,7,1,43,25,172,47,24.571428,6.142857,true
4.2.0,71,3,0,33,29,64,47,21.333334,11,false
4.2.0,202,9,5,84,35,173,47,19.222221,9.333333,true
4.2.0,293,12,6,28,8,169,47,14.083333,2.333333,true
4.2.0,18,3,0,3,1,77,47,25.666666,1,false
4.2.0,31,4,1,2,2,96,47,24,0.5,true
4.2.0,515,13,2,174,96,192,47,14.769231,13.384615,true
4.2.0,94,11,6,28,10,194,47,17.636364,2.545454,true
4.2.0,44,4,0,44,11,71,47,17.75,11,false
4.2.0,185,9,3,118,62,154,47,17.11111,13.111111,true
4.2.0,590,19,10,418,115,276,47,14.526316,22,true
4.2.0,653,5,3,615,506,155,79,31,123,true
4.2.0,38,7,5,12,7,91,41,13,1.714286,true
4.2.0,11238,14,3,8965,2384,280,30,20,640.3571,true
4.2.0,4104,7,1,4078,1493,90,21,12.857142,582.5714,true
4.2.0,17,4,3,2,1,62,41,15.5,0.5,true
4.2.0,477,12,9,208,81,123,41,10.25,17.333334,true
4.2.0,85,5,4,38,38,56,21,11.2,7.6,true
4.2.0,2,2,1,0,0,58,41,29,0,true
4.2.0,667,9,6,636,243,170,79,18.88889,70.666664,true
4.2.0,740,11,6,401,260,142,41,12.909091,36.454544,true
4.2.0,31,2,1,27,27,9,6,4.5,13.5,true
4.2.0,1,1,0,0,0,2,2,2,0,false
4.2.0,22,4,3,6,3,93,79,23.25,1.5,true
4.2.0,549,4,4,540,257,32,12,8,135,true
4.2.0,141,13,7,103,27,173,41,13.307693,7.923077,true
4.2.0,233,4,0,214,213,159,79,39.75,53.5,false
4.2.0,5,3,0,2,1,137,79,45.666668,0.666667,false
4.2.0,197,4,0,183,179,141,79,35.25,45.75,false
4.2.0,8,1,0,6,6,28,28,28,6,false
4.2.0,12,3,1,8,5,62,30,20.666666,2.666667,true
4.2.0,310,5,1,306,291,145,79,29,61.2,true
4.2.0,397,6,1,339,237,171,79,28.5,56.5,true
4.2.0,86,2,0,84,84,107,79,53.5,42,false
4.2.0,79,2,0,78,75,33,28,16.5,39,false
4.2.0,38,1,0,38,38,28,28,28,38,false
4.2.0,134,4,0,107,82,86,28,21.5,26.75,false
4.2.0,5,1,0,5,5,28,28,28,5,false
4.2.0,8,3,0,5,5,99,41,33,1.666667,false
4.2.0,90,9,2,52,22,129,28,14.333333,5.777778,true
4.2.0,848,7,2,796,559,109,28,15.571428,113.71429,true
4.2.0,100,2,1,96,96,40,28,20,48,true
4.2.0,158,3,0,127,118,59,28,19.666666,42.333332,false
4.2.0,268,4,1,240,163,66,28,16.5,60,true
4.2.0,166,2,1,166,149,37,28,18.5,83,true
4.2.0,268,12,4,237,82,127,28,10.583333,19.75,true
4.2.0,100,6,1,87,42,99,28,16.5,14.5,true
4.2.0,85,4,1,73,41,100,79,25,18.25,true
4.2.0,7,1,0,7,7,11,11,11,7,false
4.2.0,97,5,2,90,45,109,79,21.8,18,true
4.2.0,36,2,2,26,13,24,12,12,13,true
4.2.0,23,5,2,6,2,85,41,17,1.2,true
4.2.0,8,2,2,4,2,24,12,12,2,true
4.2.0,142,9,7,49,14,98,41,10.888889,5.444445,true
4.2.0,26,2,2,24,12,24,12,12,12,true
4.2.0,81,3,0,74,63,17,11,5.666666,24.666666,false
4.2.0,78,6,3,69,26,124,79,20.666666,11.5,true
4.2.0,312,8,5,115,50,130,41,16.25,14.375,true
4.2.0,22,2,2,22,11,36,18,18,11,true
4.2.0,18,3,2,9,5,52,18,17.333334,3,true
4.2.0,252,9,3,115,66,162,27,18,12.777778,true
4.2.0,21,3,2,14,12,66,30,22,4.666666,true
4.2.0,400,15,7,233,103,212,27,14.133333,15.533334,true
4.2.0,4,2,2,2,1,36,18,18,1,true
4.2.0,4,2,2,2,1,36,18,18,1,true
4.2.0,8,2,2,2,1,36,18,18,1,true
4.2.0,250,8,4,89,46,152,41,19,11.125,true
4.2.0,650,10,4,115,30,210,35,21,11.5,true
4.2.0,244,7,4,33,25,157,41,22.428572,4.714286,true
4.2.0,387,10,4,43,29,224,41,22.4,4.3,true
4.2.0,10,2,2,2,1,36,18,18,1,true
4.2.0,9,3,2,4,2,77,41,25.666666,1.333333,true
4.2.0,8,2,2,4,2,36,18,18,2,true
4.2.0,68,4,2,39,31,121,79,30.25,9.75,true
4.2.0,473,9,1,448,167,265,79,29.444445,49.77778,true
4.2.0,22,2,0,0,0,71,41,35.5,0,false
4.2.0,4,1,0,1,1,30,30,30,1,false
4.2.0,26,3,0,25,18,77,30,25.666666,8.333333,false
4.2.0,8,3,1,1,1,79,41,26.333334,0.333333,true
4.2.0,42,2,1,42,25,33,30,16.5,21,true
4.2.0,48,4,1,7,5,105,41,26.25,1.75,true
4.2.0,5,2,0,0,0,71,41,35.5,0,false
4.2.0,29,2,0,4,4,65,35,32.5,2,false
4.2.0,377,7,2,55,20,168,41,24,7.857143,true
4.2.0,7,2,0,1,1,71,41,35.5,0.5,false
4.2.0,21,2,0,3,2,65,35,32.5,1.5,false
4.2.0,15,2,0,8,8,71,41,35.5,4,false
4.2.0,34,3,1,30,16,53,30,17.666666,10,true
4.2.0,26,2,1,24,24,35,30,17.5,12,true
4.2.0,7,1,1,6,6,4,4,4,6,true
4.2.0,20,2,0,12,12,100,79,50,6,false
4.2.0,326,2,0,321,321,100,79,50,160.5,false
4.2.0,61,2,0,60,60,100,79,50,30,false
4.2.0,63,2,0,62,62,100,79,50,31,false
4.2.0,184,1,0,1,1,21,21,21,1,false
4.2.0,316,2,0,310,310,62,41,31,155,false
4.2.0,354,2,1,353,353,33,21,16.5,176.5,true
4.2.0,108,1,0,108,108,21,21,21,108,false
4.2.0,131,2,0,130,130,29,21,14.5,65,false
4.2.0,162,1,0,162,162,21,21,21,162,false
4.2.0,104,2,1,100,100,33,21,16.5,50,true
4.2.0,1240,8,3,1189,679,189,79,23.625,148.625,true
4.2.0,70,5,3,22,19,75,31,15,4.4,true
4.2.0,832,12,1,774,359,182,79,15.166667,64.5,true
4.2.0,534,13,0,472,394,98,21,7.538462,36.307693,false
4.2.0,109,3,0,109,64,32,13,10.666667,36.333332,false
4.2.0,465,4,0,462,371,109,79,27.25,115.5,false
4.2.0,28,2,0,11,6,27,21,13.5,5.5,false
