@relation BOOKKEEPER_5-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.2.2}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
4.2.2,27,3,2,0,0,13,7,4.333334,0,true
4.2.2,201,3,3,201,76,9,3,3,67,true
4.2.2,78,2,2,78,39,8,4,4,39,true
4.2.2,20,2,2,20,10,26,13,13,10,true
4.2.2,78,2,2,78,39,26,13,13,39,true
4.2.2,3,3,2,1,1,37,13,12.333333,0.333333,true
4.2.2,54,2,2,54,27,26,13,13,27,true
4.2.2,168,2,2,90,45,12,6,6,45,true
4.2.2,50,2,0,50,25,16,8,8,25,false
4.2.2,48,2,0,44,22,16,8,8,22,false
4.2.2,8,3,0,5,3,39,16,13,1.666667,true
4.2.2,4,2,0,0,0,23,12,11.5,0,false
4.2.2,5,1,0,5,5,12,12,12,5,false
4.2.2,5,1,0,2,2,16,16,16,2,false
4.2.2,7,1,0,2,2,16,16,16,2,false
4.2.2,1,1,0,0,0,16,16,16,0,false
4.2.2,2,1,0,0,0,16,16,16,0,false
4.2.2,1,1,0,0,0,16,16,16,0,false
4.2.2,1,1,0,0,0,16,16,16,0,false
4.2.2,6,1,0,3,3,16,16,16,3,false
4.2.2,3,1,0,2,2,16,16,16,2,false
4.2.2,1,1,0,0,0,16,16,16,0,false
