@relation BOOKKEEPER_1-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.0.0}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {false,true}

@data
4.0.0,93,2,0,92,92,454,282,227,46,false
4.0.0,47,1,0,47,47,282,282,282,47,false
4.0.0,318,4,0,314,311,555,282,138.75,78.5,false
4.0.0,66,2,0,64,64,454,282,227,32,false
4.0.0,223,2,0,206,206,454,282,227,103,false
4.0.0,53,2,0,52,52,454,282,227,26,false
4.0.0,277,2,0,268,268,454,282,227,134,false
4.0.0,54,1,0,54,54,282,282,282,54,false
4.0.0,310,3,0,305,305,552,282,184,101.666664,false
4.0.0,53,1,0,53,53,282,282,282,53,false
4.0.0,131,2,0,129,129,454,282,227,64.5,false
4.0.0,79,2,0,76,76,454,282,227,38,false
4.0.0,55,2,0,48,48,454,282,227,24,false
4.0.0,114,2,0,112,112,454,282,227,56,false
4.0.0,190,8,0,172,126,639,282,79.875,21.5,false
4.0.0,170,1,0,170,170,282,282,282,170,false
4.0.0,276,3,0,260,260,485,282,161.66667,86.666664,false
4.0.0,101,3,0,93,93,485,282,161.66667,31,false
4.0.0,730,3,0,692,692,485,282,161.66667,230.66667,false
4.0.0,177,2,0,166,166,454,282,227,83,false
4.0.0,116,1,0,116,116,282,282,282,116,false
4.0.0,68,2,0,65,65,454,282,227,32.5,false
4.0.0,63,2,0,61,61,380,282,190,30.5,false
4.0.0,229,4,0,221,221,583,282,145.75,55.25,false
4.0.0,137,3,0,133,133,552,282,184,44.333332,false
4.0.0,250,3,0,230,230,485,282,161.66667,76.666664,false
4.0.0,57,1,0,57,57,282,282,282,57,false
4.0.0,51,1,0,51,51,282,282,282,51,false
4.0.0,284,3,0,171,171,470,282,156.66667,57,false
4.0.0,392,3,0,234,231,470,282,156.66667,78,false
4.0.0,59,2,0,57,57,454,282,227,28.5,false
4.0.0,93,3,0,78,78,552,282,184,26,false
4.0.0,99,2,0,98,98,454,282,227,49,false
4.0.0,35,1,0,35,35,282,282,282,35,false
4.0.0,134,2,0,104,104,454,282,227,52,false
4.0.0,522,3,0,445,428,552,282,184,148.33333,false
4.0.0,54,2,0,52,52,454,282,227,26,false
