Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,202,9,5,84,35,173,47,19.222221,9.333333,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,293,12,6,28,8,169,47,14.083333,2.3333333,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,18,3,0,3,1,77,47,25.666666,1,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,31,4,1,2,2,96,47,24,0.5,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,515,13,2,174,96,192,47,14.769231,13.384615,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,94,11,6,28,10,194,47,17.636364,2.5454545,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,44,4,0,44,11,71,47,17.75,11,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,185,9,3,118,62,154,47,17.11111,13.111111,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,590,19,10,418,115,276,47,14.526316,22,true
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestBackwardCompat.java,653,5,3,615,506,155,79,31,123,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,38,7,5,12,7,91,41,13,1.7142857,true
4.2.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,11238,14,3,8965,2384,280,30,20,640.3571,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,4104,7,1,4078,1493,90,21,12.857142,582.5714,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,17,4,3,2,1,62,41,15.5,0.5,true
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,477,12,9,208,81,123,41,10.25,17.333334,true
