Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
4.2.1,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,28,2,0,10,10,46,41,23,5,false
4.2.1,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/TestThrottlingDelivery.java,10,2,0,8,8,46,41,23,4,false
4.2.1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,33,1,0,22,22,5,5,5,22,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/hedwig/jms/selector/activemq/SelectorTest.java,399,1,0,399,399,159,159,159,399,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/hedwig/jms/selector/activemq/SelectorParserTest.java,46,1,0,46,46,159,159,159,46,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/hedwig/jms/selector/BasicSelectorGrammarTest.java,376,1,0,376,376,159,159,159,376,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/hedwig/jms/BasicJMSTest.java,337,1,0,337,337,159,159,159,337,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/hedwig/JmsTestBase.java,95,1,0,95,95,159,159,159,95,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/util/Wait.java,40,1,0,40,40,159,159,159,40,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/util/SimplePojo.java,77,1,0,77,77,159,159,159,77,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/util/ProducerThread.java,87,1,0,87,87,159,159,159,87,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/util/MessageIdList.java,267,1,0,267,267,159,159,159,267,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/util/IdGenerator.java,29,1,0,29,29,159,159,159,29,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/util/DefaultTestAppender.java,82,1,0,82,82,159,159,159,82,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/util/ConsumerThread.java,86,1,0,86,86,159,159,159,86,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/TransactionTest.java,120,1,0,120,120,159,159,159,120,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/TransactionRollbackOrderTest.java,161,1,0,161,161,159,159,159,161,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/TopicRedeliverTest.java,300,1,0,300,300,159,159,159,300,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/TestSupport.java,157,1,0,157,157,159,159,159,157,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/SubscribeClosePublishThenConsumeTest.java,107,1,0,107,107,159,159,159,107,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/PublishOnTopicConsumedMessageTest.java,66,1,0,66,66,159,159,159,66,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/PublishOnDurableTopicConsumedMessageTest.java,27,1,0,27,27,159,159,159,27,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/ProducerConsumerTestSupport.java,54,1,0,54,54,159,159,159,54,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/ObjectMessageNotSerializableTest.java,241,1,0,241,241,159,159,159,241,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/NonBlockingConsumerRedeliveryTest.java,340,1,0,340,340,159,159,159,340,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/MyObject.java,73,1,0,73,73,159,159,159,73,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/DurableSubscriptionHangTestCase.java,119,1,0,119,119,159,159,159,119,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/DurableSubSelectorDelayTest.java,256,1,0,256,256,159,159,159,256,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/DurableSubProcessTest.java,628,1,0,628,628,159,159,159,628,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/DurableConsumerCloseAndReconnectTest.java,192,1,0,192,192,159,159,159,192,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/DispatchMultipleConsumersTest.java,214,1,0,214,214,159,159,159,214,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/DiscriminatingConsumerLoadTest.java,322,1,0,322,322,159,159,159,322,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/ConcurrentProducerDurableConsumerTest.java,413,1,0,413,413,159,159,159,413,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/CompositePublishTest.java,145,2,0,145,143,200,159,100,72.5,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/CompositeConsumeTest.java,73,1,0,73,73,159,159,159,73,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/ChangeSessionDeliveryModeTest.java,72,1,0,72,72,159,159,159,72,false
4.2.1,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/ChangeSentMessageTest.java,62,1,0,62,62,159,159,159,62,false
