@relation BOOKKEEPER_4-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.2.1}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
4.2.1,28,2,2,10,10,46,41,23,5,true
4.2.1,10,2,2,8,8,46,41,23,4,true
4.2.1,33,1,1,22,22,5,5,5,22,true
4.2.1,399,1,0,399,399,159,159,159,399,false
4.2.1,46,1,0,46,46,159,159,159,46,false
4.2.1,376,1,0,376,376,159,159,159,376,false
4.2.1,337,1,0,337,337,159,159,159,337,false
4.2.1,95,1,0,95,95,159,159,159,95,false
4.2.1,40,1,0,40,40,159,159,159,40,false
4.2.1,77,1,0,77,77,159,159,159,77,false
4.2.1,87,1,0,87,87,159,159,159,87,false
4.2.1,267,1,0,267,267,159,159,159,267,false
4.2.1,29,1,0,29,29,159,159,159,29,false
4.2.1,82,1,0,82,82,159,159,159,82,false
4.2.1,86,1,0,86,86,159,159,159,86,false
4.2.1,120,1,0,120,120,159,159,159,120,false
4.2.1,161,1,0,161,161,159,159,159,161,false
4.2.1,300,1,0,300,300,159,159,159,300,false
4.2.1,157,1,0,157,157,159,159,159,157,false
4.2.1,107,1,0,107,107,159,159,159,107,false
4.2.1,66,1,0,66,66,159,159,159,66,false
4.2.1,27,1,0,27,27,159,159,159,27,false
4.2.1,54,1,0,54,54,159,159,159,54,false
4.2.1,241,1,0,241,241,159,159,159,241,false
4.2.1,340,1,0,340,340,159,159,159,340,false
4.2.1,73,1,0,73,73,159,159,159,73,false
4.2.1,119,1,0,119,119,159,159,159,119,false
4.2.1,256,1,0,256,256,159,159,159,256,false
4.2.1,628,1,0,628,628,159,159,159,628,false
4.2.1,192,1,0,192,192,159,159,159,192,false
4.2.1,214,1,0,214,214,159,159,159,214,false
4.2.1,322,1,0,322,322,159,159,159,322,false
4.2.1,413,1,0,413,413,159,159,159,413,false
4.2.1,145,2,1,145,143,200,159,100,72.5,true
4.2.1,73,1,0,73,73,159,159,159,73,false
4.2.1,72,1,0,72,72,159,159,159,72,false
4.2.1,62,1,0,62,62,159,159,159,62,false
4.2.1,71,1,0,71,71,159,159,159,71,false
4.2.1,261,1,0,261,261,159,159,159,261,false
4.2.1,129,1,0,129,129,159,159,159,129,false
4.2.1,35,1,0,35,35,159,159,159,35,false
4.2.1,116,1,0,116,116,159,159,159,116,false
4.2.1,273,1,0,273,273,159,159,159,273,false
4.2.1,237,1,0,237,237,159,159,159,237,false
4.2.1,38,1,0,38,38,159,159,159,38,false
4.2.1,56,1,0,56,56,159,159,159,56,false
4.2.1,47,1,0,47,47,159,159,159,47,false
4.2.1,181,1,0,181,181,159,159,159,181,false
4.2.1,37,1,0,37,37,159,159,159,37,false
4.2.1,79,1,0,79,79,159,159,159,79,false
4.2.1,63,1,0,63,63,159,159,159,63,false
4.2.1,50,1,0,50,50,159,159,159,50,false
4.2.1,78,1,0,78,78,159,159,159,78,false
4.2.1,125,1,0,125,125,159,159,159,125,false
4.2.1,139,1,0,139,139,159,159,159,139,false
4.2.1,88,1,0,88,88,159,159,159,88,false
4.2.1,212,1,0,212,212,159,159,159,212,false
4.2.1,171,1,0,171,171,159,159,159,171,false
4.2.1,78,2,1,77,77,200,159,100,38.5,true
4.2.1,127,1,0,127,127,159,159,159,127,false
4.2.1,98,1,0,98,98,159,159,159,98,false
4.2.1,222,1,0,222,222,159,159,159,222,false
4.2.1,138,1,0,138,138,159,159,159,138,false
4.2.1,129,1,0,129,129,159,159,159,129,false
4.2.1,91,1,0,91,91,159,159,159,91,false
4.2.1,151,1,0,151,151,159,159,159,151,false
4.2.1,145,1,0,145,145,159,159,159,145,false
4.2.1,193,1,0,193,193,159,159,159,193,false
4.2.1,164,1,0,164,164,159,159,159,164,false
4.2.1,692,1,0,692,692,159,159,159,692,false
4.2.1,36,1,0,36,36,159,159,159,36,false
4.2.1,46,1,0,46,46,159,159,159,46,false
4.2.1,28,1,0,28,28,159,159,159,28,false
4.2.1,116,1,0,116,116,159,159,159,116,false
4.2.1,95,1,0,95,95,159,159,159,95,false
4.2.1,33,1,0,33,33,159,159,159,33,false
4.2.1,212,1,0,212,212,159,159,159,212,false
4.2.1,176,1,0,176,176,159,159,159,176,false
4.2.1,101,1,0,101,101,159,159,159,101,false
4.2.1,174,1,0,174,174,159,159,159,174,false
4.2.1,107,1,0,107,107,159,159,159,107,false
4.2.1,239,1,0,239,239,159,159,159,239,false
4.2.1,234,1,0,234,234,159,159,159,234,false
4.2.1,339,1,0,339,339,159,159,159,339,false
4.2.1,380,1,0,380,380,159,159,159,380,false
4.2.1,281,1,0,281,281,159,159,159,281,false
4.2.1,38,1,0,38,38,159,159,159,38,false
4.2.1,87,1,0,87,87,159,159,159,87,false
4.2.1,26,1,0,26,26,159,159,159,26,false
4.2.1,96,1,0,96,96,159,159,159,96,false
4.2.1,157,1,0,157,157,159,159,159,157,false
4.2.1,169,1,0,169,169,159,159,159,169,false
4.2.1,148,1,0,148,148,159,159,159,148,false
4.2.1,127,1,0,127,127,159,159,159,127,false
4.2.1,204,1,0,204,204,159,159,159,204,false
4.2.1,75,1,0,75,75,159,159,159,75,false
4.2.1,77,1,0,77,77,159,159,159,77,false
4.2.1,109,1,0,109,109,159,159,159,109,false
4.2.1,504,1,0,504,504,159,159,159,504,false
4.2.1,165,1,0,165,165,159,159,159,165,false
4.2.1,76,1,0,76,76,159,159,159,76,false
4.2.1,936,1,0,936,936,159,159,159,936,false
4.2.1,61,1,0,61,61,159,159,159,61,false
4.2.1,84,1,0,84,84,159,159,159,84,false
4.2.1,73,1,0,73,73,159,159,159,73,false
4.2.1,250,1,0,250,250,159,159,159,250,false
4.2.1,153,1,0,153,153,159,159,159,153,false
4.2.1,323,1,0,323,323,159,159,159,323,false
4.2.1,76,1,0,76,76,159,159,159,76,false
4.2.1,227,2,1,226,226,204,159,102,113,true
4.2.1,84,1,0,84,84,159,159,159,84,false
4.2.1,117,1,0,117,117,159,159,159,117,false
4.2.1,74,1,0,74,74,159,159,159,74,false
4.2.1,627,2,1,625,621,200,159,100,312.5,true
4.2.1,164,1,0,164,164,159,159,159,164,false
4.2.1,64,1,0,64,64,159,159,159,64,false
4.2.1,329,1,0,329,329,159,159,159,329,false
4.2.1,65,1,0,65,65,159,159,159,65,false
4.2.1,73,1,0,73,73,159,159,159,73,false
4.2.1,261,1,0,261,261,159,159,159,261,false
4.2.1,39,1,0,39,39,159,159,159,39,false
4.2.1,56,1,0,56,56,159,159,159,56,false
4.2.1,187,1,0,187,187,159,159,159,187,false
4.2.1,512,1,0,512,512,159,159,159,512,false
4.2.1,101,1,0,101,101,159,159,159,101,false
4.2.1,64,1,0,64,64,159,159,159,64,false
4.2.1,180,1,0,180,180,159,159,159,180,false
4.2.1,25,1,0,25,25,159,159,159,25,false
4.2.1,51,1,0,51,51,159,159,159,51,false
4.2.1,184,1,0,184,184,159,159,159,184,false
4.2.1,163,1,0,163,163,159,159,159,163,false
4.2.1,1126,1,0,1126,1126,159,159,159,1126,false
4.2.1,135,1,0,135,135,159,159,159,135,false
4.2.1,752,1,0,752,752,159,159,159,752,false
4.2.1,168,1,0,168,168,159,159,159,168,false
4.2.1,444,1,0,444,444,159,159,159,444,false
4.2.1,872,1,0,872,872,159,159,159,872,false
4.2.1,295,1,0,295,295,159,159,159,295,false
4.2.1,657,1,0,657,657,159,159,159,657,false
4.2.1,33,1,0,33,33,159,159,159,33,false
4.2.1,106,1,0,106,106,159,159,159,106,false
4.2.1,179,1,0,179,179,159,159,159,179,false
4.2.1,2021,2,1,2009,2009,204,159,102,1004.5,true
4.2.1,61,1,0,61,61,159,159,159,61,false
4.2.1,421,1,0,421,421,159,159,159,421,false
4.2.1,115,1,0,115,115,159,159,159,115,false
4.2.1,104,1,0,104,104,159,159,159,104,false
4.2.1,69,1,0,69,69,159,159,159,69,false
4.2.1,77,1,0,77,77,159,159,159,77,false
4.2.1,476,1,0,476,476,159,159,159,476,false
4.2.1,168,3,1,28,21,18,13,6,9.333333,true
4.2.1,45,3,1,44,33,57,41,19,14.666667,true
4.2.1,6,2,1,1,1,58,45,29,0.5,true
4.2.1,5,1,1,2,2,45,45,45,2,true
4.2.1,2,1,1,0,0,45,45,45,0,true
4.2.1,3,1,1,2,2,45,45,45,2,true
4.2.1,2,1,1,1,1,45,45,45,1,true
4.2.1,10,2,2,1,1,86,45,43,0.5,true
4.2.1,6,1,1,1,1,45,45,45,1,true
4.2.1,3,1,1,1,1,45,45,45,1,true
4.2.1,2,1,1,1,1,45,45,45,1,true
4.2.1,2,1,1,1,1,45,45,45,1,true
4.2.1,4,2,2,1,1,86,45,43,0.5,true
4.2.1,3,1,1,1,1,45,45,45,1,true
4.2.1,2,1,1,2,2,45,45,45,2,true
4.2.1,3,1,1,3,3,45,45,45,3,true
4.2.1,4,1,1,2,2,45,45,45,2,true
4.2.1,9,1,1,2,2,45,45,45,2,true
4.2.1,126,3,2,10,10,94,45,31.333334,3.333333,true
4.2.1,290,2,1,7,5,57,45,28.5,3.5,true
4.2.1,3,1,1,2,2,45,45,45,2,true
4.2.1,3,1,1,2,2,45,45,45,2,true
4.2.1,1,1,1,0,0,45,45,45,0,true
4.2.1,16,6,6,0,0,101,45,16.833334,0,true
4.2.1,4,2,2,1,1,86,45,43,0.5,true
4.2.1,3,1,1,2,2,45,45,45,2,true
4.2.1,47,2,2,30,28,50,45,25,15,true
4.2.1,5,1,1,1,1,45,45,45,1,true
4.2.1,17,2,1,14,12,49,45,24.5,7,true
4.2.1,27,5,3,0,0,59,45,11.8,0,true
4.2.1,3,1,1,2,2,45,45,45,2,true
4.2.1,3,1,1,2,2,45,45,45,2,true
4.2.1,15,3,3,14,6,53,45,17.666666,4.666666,true
4.2.1,5,1,1,2,2,45,45,45,2,true
4.2.1,8,1,1,2,2,45,45,45,2,true
4.2.1,4,1,1,3,3,45,45,45,3,true
4.2.1,7,3,3,4,2,49,45,16.333334,1.333333,true
4.2.1,2,1,1,1,1,45,45,45,1,true
4.2.1,5,1,1,1,1,45,45,45,1,true
4.2.1,5,1,1,2,2,45,45,45,2,true
4.2.1,4,1,1,2,2,45,45,45,2,true
4.2.1,49,1,1,0,0,4,4,4,0,true
4.2.1,5,1,1,0,0,4,4,4,0,true
4.2.1,9,2,1,0,0,16,12,8,0,true
