Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestDeathwatcher.java,120,2,0,120,60,4,3,2,60,false
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,43,9,4,24,6,64,17,7.111111,2.6666667,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,2,2,2,0,0,20,10,10,0,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java,214,4,4,200,54,28,10,7,50,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java,12,2,2,6,3,20,10,10,3,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/MSLedgerManagerFactory.java,15,5,4,4,2,48,16,9.6,0.8,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,38,2,2,4,2,20,10,10,2,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,87,9,6,20,8,72,16,8,2.2222223,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,34,6,4,0,0,48,10,8,0,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,40,4,4,10,5,28,10,7,2.5,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,34,2,2,6,3,20,10,10,3,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,144,7,5,46,18,37,12,5.285714,6.571429,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,402,4,4,398,157,13,6,3.25,99.5,true
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieWriteLedgerTest.java,16,2,2,8,4,11,6,5.5,4,true
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,34,4,2,24,7,34,12,8.5,6,true
