Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.09.4,external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,12,4,0,0,0,821,734,205.25,0,true
0.09.4,external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java,51,7,0,16,8,1133,734,161.85715,2.2857144,true
0.09.4,storm-core/src/jvm/backtype/storm/Config.java,4813,117,8,3507,327,4971,734,42.48718,29.97436,true
0.09.4,external/storm-kafka/src/test/storm/kafka/KafkaUtilsTest.java,249,21,0,108,43,2504,734,119.2381,5.142857,true
0.09.4,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,211,33,2,129,25,2884,734,87.393936,3.909091,true
0.09.4,storm-core/src/jvm/backtype/storm/utils/ShellProcess.java,169,14,1,128,21,1963,734,140.21428,9.142858,true
0.09.4,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,222,3,0,79,45,892,734,297.33334,26.333334,true
0.09.4,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/security/HdfsSecurityUtil.java,12,4,0,8,2,1757,734,439.25,2,true
0.09.4,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseState.java,2,2,0,0,0,1043,734,521.5,0,true
0.09.4,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/AbstractHBaseBolt.java,24,6,0,16,10,504,258,84,2.6666667,true
0.09.4,external/storm-kafka/src/test/storm/kafka/bolt/KafkaBoltTest.java,571,18,0,465,57,2666,734,148.11111,25.833334,true
0.09.4,external/storm-kafka/src/jvm/storm/kafka/bolt/KafkaBolt.java,318,13,0,220,35,2144,734,164.92308,16.923077,true
0.09.4,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/SequenceFileBolt.java,104,5,2,30,10,1286,734,257.2,6,true
0.09.4,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/HdfsBolt.java,866,10,2,491,79,1626,734,162.6,49.1,true
0.09.4,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseLookupBolt.java,4,2,0,0,0,1043,734,521.5,0,true
0.09.4,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseBolt.java,129,10,0,54,16,1548,734,154.8,5.4,true
0.09.4,storm-core/src/jvm/backtype/storm/topology/TopologyBuilder.java,167,12,3,76,17,1909,734,159.08333,6.3333335,true
0.09.4,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,102,15,2,55,10,1947,734,129.8,3.6666667,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/trident/TridentCollectorMock.java,104,2,0,104,52,1043,734,521.5,52,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/trident/TestTransactionalTridentEmitter.java,186,2,0,186,93,1043,734,521.5,93,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/TestPartitionManager.java,234,2,0,234,117,1043,734,521.5,117,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/TestEventHubSpout.java,146,4,0,144,72,1757,734,439.25,36,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/TestEventData.java,94,2,0,94,47,1043,734,521.5,47,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/StateStoreMock.java,108,2,0,108,54,1043,734,521.5,54,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/SpoutOutputCollectorMock.java,164,7,0,155,66,1626,734,232.28572,22.142857,true
0.09.4,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/PartitionManagerCallerMock.java,210,2,0,210,105,1043,734,521.5,105,true
