Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.9.3,storm-core/src/jvm/backtype/storm/Config.java,3422,55,7,1911,263,2502,237,45.49091,34.745453,true
0.9.3,src/main/java/org/apache/storm/hdfs/common/security/HdfsSecurityUtil.java,2,1,0,0,0,1,1,1,0,false
0.9.3,src/main/java/org/apache/storm/hdfs/trident/HdfsState.java,53,3,0,20,17,14,5,4.6666665,6.6666665,false
0.9.3,src/main/java/org/apache/storm/hdfs/bolt/SequenceFileBolt.java,10,2,0,2,2,9,5,4.5,1,false
0.9.3,src/main/java/org/apache/storm/hdfs/bolt/HdfsBolt.java,10,2,0,0,0,9,5,4.5,0,false
0.9.3,src/main/java/org/apache/storm/hdfs/bolt/AbstractHdfsBolt.java,31,3,0,21,19,14,5,4.6666665,7,false
0.9.3,src/test/java/org/apache/storm/hdfs/bolt/HdfsFileTopology.java,4,2,0,1,1,10,5,5,0.5,false
0.9.3,src/main/java/org/apache/storm/hdfs/trident/rotation/TimedRotationPolicy.java,54,1,0,54,54,5,5,5,54,false
0.9.3,src/main/java/org/apache/storm/hdfs/bolt/rotation/TimedRotationPolicy.java,55,1,0,55,55,5,5,5,55,false
0.9.3,storm-core/src/jvm/backtype/storm/utils/ShellUtils.java,4482,9,1,4482,498,1358,232,150.88889,498,true
0.9.3,storm-core/src/jvm/backtype/storm/security/auth/authorizer/SimpleACLAuthorizer.java,877,13,1,836,131,1366,232,105.07692,64.30769,true
0.9.3,storm-core/src/jvm/backtype/storm/security/auth/ShellBasedUnixGroupsMapping.java,102,2,0,92,88,11,7,5.5,46,false
0.9.3,storm-core/src/jvm/backtype/storm/security/auth/IGroupMappingServiceProvider.java,402,10,1,390,54,1362,232,136.2,39,true
0.9.3,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java,1396,12,2,1218,186,1383,232,115.25,101.5,true
0.9.3,storm-core/src/jvm/backtype/storm/utils/Utils.java,1395,30,4,755,84,2323,237,77.433334,25.166666,true
0.9.3,storm-core/src/jvm/backtype/storm/utils/Monitor.java,2771,13,1,2709,249,808,237,62.153847,208.38461,true
0.9.3,external/storm-kafka/src/jvm/storm/kafka/DynamicBrokersReader.java,321,14,2,314,147,878,237,62.714287,22.428572,true
0.9.3,external/storm-kafka/src/jvm/storm/kafka/Partition.java,187,9,1,173,69,862,237,95.77778,19.222221,true
0.9.3,external/storm-kafka/src/jvm/storm/kafka/Broker.java,221,9,1,207,86,862,237,95.77778,23,true
0.9.3,storm-core/src/jvm/backtype/storm/ui/InvalidRequestException.java,157,8,1,157,20,755,237,94.375,19.625,true
0.9.3,storm-core/src/jvm/backtype/storm/utils/ShellProcess.java,236,15,2,35,7,961,237,64.066666,2.3333333,true
0.9.3,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,2193,43,8,1368,136,2181,237,50.720932,31.813953,true
0.9.3,storm-core/src/jvm/backtype/storm/spout/ShellSpout.java,1044,32,5,843,59,2081,237,65.03125,26.34375,true
0.9.3,src/test/java/org/apache/storm/hbase/topology/WordCountRowToStormValueMapper.java,140,3,0,139,69,42,16,14,46.333332,false
0.9.3,src/test/java/org/apache/storm/hbase/topology/TotalWordCounter.java,142,3,0,139,70,42,16,14,46.333332,false
0.9.3,src/test/java/org/apache/storm/hbase/topology/LookupWordCount.java,159,3,0,158,79,38,16,12.666667,52.666668,false
0.9.3,src/main/java/org/apache/storm/hbase/trident/state/HbaseState.java,193,4,0,186,162,51,16,12.75,46.5,false
0.9.3,src/main/java/org/apache/storm/hbase/trident/state/HBaseUpdater.java,60,3,0,56,32,42,16,14,18.666666,false
0.9.3,src/main/java/org/apache/storm/hbase/trident/state/HBaseStateFactory.java,68,3,0,64,40,42,16,14,21.333334,false
0.9.3,src/main/java/org/apache/storm/hbase/trident/HBaseQuery.java,7,1,0,7,7,13,13,13,7,false
0.9.3,src/main/java/org/apache/storm/hbase/bolt/mapper/HBaseRowToStormValueMapper.java,82,2,0,82,41,29,16,14.5,41,false
0.9.3,src/main/java/org/apache/storm/hbase/bolt/mapper/HBaseProjectionCriteria.java,170,2,0,170,85,29,16,14.5,85,false
0.9.3,src/main/java/org/apache/storm/hbase/bolt/HBaseLookupBolt.java,192,4,0,176,90,51,16,12.75,44,false
0.9.3,src/main/java/org/apache/storm/hbase/bolt/HBaseBolt.java,237,4,0,18,9,44,16,11,4.5,false
0.9.3,src/main/java/org/apache/storm/hbase/bolt/AbstractHBaseBolt.java,183,3,0,159,90,42,16,14,53,false
0.9.3,storm-core/src/jvm/backtype/storm/testing/PythonShellMetricsSpout.java,332,10,1,332,35,906,237,90.6,33.2,true
0.9.3,storm-core/src/jvm/backtype/storm/testing/PythonShellMetricsBolt.java,305,10,1,305,32,906,237,90.6,30.5,true
0.9.3,storm-core/src/jvm/backtype/storm/task/TopologyContext.java,305,14,1,303,48,965,237,68.92857,21.642857,true
0.9.3,storm-core/src/jvm/backtype/storm/multilang/ShellMsg.java,742,18,4,742,168,1137,237,63.166668,41.22222,true
0.9.3,storm-core/src/jvm/backtype/storm/multilang/JsonSerializer.java,508,21,4,490,194,1067,237,50.809525,23.333334,true
0.9.3,storm-core/src/jvm/backtype/storm/metric/api/rpc/ReducedShellMetric.java,288,9,1,288,32,877,237,97.44444,32,true
0.9.3,storm-core/src/jvm/backtype/storm/metric/api/rpc/IShellMetric.java,279,9,1,279,31,877,237,97.44444,31,true
0.9.3,storm-core/src/jvm/backtype/storm/metric/api/rpc/CountShellMetric.java,342,9,1,342,38,877,237,97.44444,38,true
0.9.3,storm-core/src/jvm/backtype/storm/metric/api/rpc/CombinedShellMetric.java,279,9,1,279,31,877,237,97.44444,31,true
0.9.3,storm-core/src/jvm/backtype/storm/metric/api/rpc/AssignableShellMetric.java,270,9,1,270,30,877,237,97.44444,30,true
0.9.3,src/test/java/org/apache/storm/hbase/trident/WordCountTrident.java,211,3,0,208,104,38,16,12.666667,69.333336,false
0.9.3,src/test/java/org/apache/storm/hbase/trident/PrintFunction.java,80,2,0,80,40,29,16,14.5,40,false
0.9.3,src/main/java/org/apache/storm/hbase/trident/state/HBaseQuery.java,80,2,0,80,40,29,16,14.5,40,false
0.9.3,src/main/java/org/apache/storm/hbase/common/HBaseClient.java,270,2,0,270,135,29,16,14.5,135,false
0.9.3,examples/storm-starter/src/jvm/storm/starter/WordCountTopologyNode.java,1210,10,1,1210,121,310,77,31,121,true
0.9.3,storm-core/test/jvm/backtype/storm/utils/DisruptorQueueTest.java,607,14,2,471,153,1653,237,118.07143,33.642857,true
0.9.3,storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java,12,3,1,12,4,569,237,189.66667,4,true
0.9.3,storm-core/src/jvm/storm/trident/state/map/RemovableMapState.java,67,3,1,67,25,569,237,189.66667,22.333334,true
0.9.3,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,522,15,2,116,31,1654,237,110.26667,7.733333,true
0.9.3,storm-core/src/jvm/backtype/storm/multilang/SpoutMsg.java,119,3,1,119,51,569,237,189.66667,39.666668,true
0.9.3,storm-core/src/jvm/backtype/storm/multilang/NoOutputException.java,97,3,1,97,40,569,237,189.66667,32.333332,true
0.9.3,storm-core/src/jvm/backtype/storm/multilang/ISerializer.java,181,3,1,181,82,569,237,189.66667,60.333332,true
0.9.3,storm-core/src/jvm/backtype/storm/multilang/BoltMsg.java,177,3,1,177,80,569,237,189.66667,59,true
0.9.3,storm-core/src/jvm/backtype/storm/messaging/netty/NettyRenameThreadFactory.java,122,3,1,121,52,569,237,189.66667,40.333332,true
0.9.3,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,549,3,1,543,181,569,237,189.66667,181,true
0.9.3,external/storm-kafka/src/test/storm/kafka/bolt/KafkaBoltTest.java,393,3,1,393,188,569,237,189.66667,131,true
0.9.3,external/storm-kafka/src/test/storm/kafka/ZkCoordinatorTest.java,311,3,1,311,147,569,237,189.66667,103.666664,true
0.9.3,external/storm-kafka/src/test/storm/kafka/TestUtils.java,339,7,2,339,62,749,237,107,48.42857,true
0.9.3,external/storm-kafka/src/test/storm/kafka/StringKeyValueSchemeTest.java,127,3,1,127,55,569,237,189.66667,42.333332,true
0.9.3,external/storm-kafka/src/test/storm/kafka/KafkaUtilsTest.java,547,15,2,507,242,1611,237,107.4,33.8,true
0.9.3,external/storm-kafka/src/test/storm/kafka/KafkaTestBroker.java,201,3,1,201,92,569,237,189.66667,67,true
0.9.3,external/storm-kafka/src/test/storm/kafka/KafkaErrorTest.java,129,3,1,129,56,569,237,189.66667,43,true
0.9.3,external/storm-kafka/src/test/storm/kafka/DynamicBrokersReaderTest.java,368,10,1,368,172,813,237,81.3,36.8,true
0.9.3,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,986,34,3,756,265,1767,237,51.97059,22.235294,true
0.9.3,examples/storm-starter/src/jvm/storm/starter/util/StormRunner.java,140,12,1,134,47,2035,237,169.58333,11.166667,true
0.9.3,examples/storm-starter/src/jvm/storm/starter/RollingTopWords.java,424,6,1,408,132,764,237,127.333336,68,true
