Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.10.0,external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,182,9,0,0,0,4621,1161,513.44446,0,true
0.10.0,external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java,400,12,2,120,16,5028,1161,419,10,true
0.10.0,storm-core/src/jvm/backtype/storm/Config.java,5003,72,2,3472,450,7010,1161,97.361115,48.22222,true
0.10.0,external/storm-kafka/src/test/storm/kafka/KafkaUtilsTest.java,736,9,0,433,63,4621,1161,513.44446,48.11111,true
0.10.0,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,195,15,1,64,18,4643,1161,309.53333,4.266667,true
0.10.0,storm-core/src/jvm/backtype/storm/utils/ShellProcess.java,73,9,0,42,21,4621,1161,513.44446,4.6666665,true
0.10.0,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,1873,20,0,464,48,5994,1161,299.7,23.2,true
0.10.0,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/security/HdfsSecurityUtil.java,14,6,1,4,2,11455,2611,1909.1666,0.6666667,true
0.10.0,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/security/AutoHDFS.java,16,4,1,0,0,9495,2611,2373.75,0,true
0.10.0,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/SequenceFormat.java,4,4,1,0,0,9495,2611,2373.75,0,true
0.10.0,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseState.java,25,5,1,0,0,10656,2611,2131.2,0,true
0.10.0,external/storm-hbase/src/main/java/org/apache/storm/hbase/security/HBaseSecurityUtil.java,184,14,3,40,4,10266,2611,733.2857,2.857143,true
0.10.0,external/storm-hbase/src/main/java/org/apache/storm/hbase/security/AutoHBase.java,16,4,1,0,0,9495,2611,2373.75,0,true
0.10.0,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/AbstractHBaseBolt.java,34,17,1,10,2,13322,2611,783.64703,0.5882353,true
0.10.0,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/SequenceFileBolt.java,310,22,1,86,13,14349,2611,652.2273,3.909091,true
0.10.0,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/HdfsBolt.java,460,22,1,111,17,14349,2611,652.2273,5.0454545,true
0.10.0,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseLookupBolt.java,44,7,2,29,7,10665,2611,1523.5714,4.142857,true
