@relation STORM_13-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.0.3}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
1.0.3,67,11,6,67,21,56,12,5.090909,6.090909,true
1.0.3,2,2,0,0,0,2,1,1,0,true
1.0.3,56,7,0,54,9,60,12,8.571428,7.714286,true
1.0.3,6,6,6,0,0,150,27,25,0,true
1.0.3,6,6,6,0,0,150,27,25,0,true
1.0.3,48,4,0,24,12,28,7,7,6,true
1.0.3,8,2,0,2,1,6,3,3,1,true
1.0.3,98,2,0,0,0,6,3,3,0,true
1.0.3,126,6,0,126,21,6,1,1,21,true
1.0.3,2,2,0,0,0,4,2,2,0,true
1.0.3,108,3,0,60,20,3,1,1,20,true
1.0.3,24,6,6,18,3,150,27,25,3,true
1.0.3,4,4,4,0,0,106,27,26.5,0,true
1.0.3,4,4,0,0,0,69,28,17.25,0,true
1.0.3,12,4,0,0,0,69,28,17.25,0,true
1.0.3,96,6,0,56,14,31,9,5.166666,9.333333,true
1.0.3,965,15,0,104,25,116,28,7.733333,6.933333,true
1.0.3,282,4,0,84,22,69,28,17.25,21,false
1.0.3,658,8,0,50,8,85,28,10.625,6.25,false
1.0.3,517,7,0,367,180,88,28,12.571428,52.42857,false
1.0.3,60,8,0,36,9,89,28,11.125,4.5,false
1.0.3,4,4,0,0,0,69,28,17.25,0,false
1.0.3,4,4,0,0,0,69,28,17.25,0,false
1.0.3,16,4,0,4,1,69,28,17.25,1,false
1.0.3,628,4,0,628,157,69,28,17.25,157,false
1.0.3,50,2,0,2,1,28,14,14,1,false
1.0.3,7,5,2,5,1,48,28,9.6,1,true
1.0.3,23,2,0,20,10,4,2,2,10,false
1.0.3,4,2,0,2,1,4,2,2,1,false
1.0.3,171,4,0,145,114,22,12,5.5,36.25,false
1.0.3,46,2,0,43,39,20,12,10,21.5,false
1.0.3,46,2,0,43,39,20,12,10,21.5,false
1.0.3,86,3,0,57,52,22,12,7.333334,19,false
1.0.3,110,2,0,79,70,20,12,10,39.5,false
1.0.3,2,2,0,0,0,20,12,10,0,false
1.0.3,110,2,0,50,25,20,12,10,25,false
1.0.3,4,3,0,1,1,5,2,1.666667,0.333333,false
1.0.3,18,2,0,4,2,4,2,2,2,false
1.0.3,72,4,0,0,0,4,1,1,0,false
1.0.3,12,4,0,8,2,4,1,1,2,false
1.0.3,718,5,0,715,356,30,9,6,143,false
1.0.3,1194,6,0,1187,593,31,9,5.166666,197.83333,false
1.0.3,8,2,0,8,4,18,9,9,4,false
1.0.3,8,2,0,8,4,18,9,9,4,false
1.0.3,178,6,0,174,87,32,9,5.333334,29,false
1.0.3,40,4,0,40,10,4,1,1,10,false
1.0.3,6,3,0,2,2,5,2,1.666667,0.666667,false
1.0.3,8,1,0,8,8,12,12,12,8,false
1.0.3,40,1,0,10,10,12,12,12,10,false
1.0.3,6,6,0,0,0,27,12,4.5,0,false
1.0.3,18,8,7,3,1,23,12,2.875,0.375,true
1.0.3,768,4,0,768,192,8,2,2,192,false
1.0.3,360,6,6,360,60,150,27,25,60,true
1.0.3,42,6,6,6,1,150,27,25,1,true
1.0.3,16,4,4,8,2,106,27,26.5,2,true
1.0.3,90,6,6,6,1,150,27,25,1,true
1.0.3,30,6,6,30,5,150,27,25,5,true
1.0.3,10,2,2,10,5,54,27,27,5,true
1.0.3,42,6,6,6,1,150,27,25,1,true
1.0.3,28,4,4,4,1,106,27,26.5,1,true
1.0.3,24,6,6,12,2,150,27,25,2,true
1.0.3,12,6,6,6,1,150,27,25,1,true
1.0.3,12,6,6,6,1,150,27,25,1,true
1.0.3,24,6,6,18,3,150,27,25,3,true
1.0.3,30,6,6,30,5,150,27,25,5,true
1.0.3,30,6,6,30,5,150,27,25,5,true
1.0.3,30,6,6,8,2,150,27,25,1.333333,true
1.0.3,12,6,6,6,1,150,27,25,1,true
1.0.3,12,6,6,6,1,150,27,25,1,true
1.0.3,12,6,6,6,1,150,27,25,1,true
1.0.3,36,6,6,12,2,150,27,25,2,true
1.0.3,100,4,4,8,2,106,27,26.5,2,true
1.0.3,42,6,6,0,0,150,27,25,0,true
1.0.3,6,6,6,0,0,150,27,25,0,true
1.0.3,126,6,6,6,1,150,27,25,1,true
1.0.3,744,3,3,744,248,93,31,31,248,true
1.0.3,153,3,3,153,51,93,31,31,51,true
1.0.3,408,4,3,399,133,95,31,23.75,99.75,true
1.0.3,927,3,3,927,309,93,31,31,309,true
1.0.3,279,3,3,279,93,93,31,31,93,true
1.0.3,423,3,3,423,141,93,31,31,141,true
1.0.3,210,3,3,210,70,93,31,31,70,true
1.0.3,174,3,3,174,58,93,31,31,58,true
1.0.3,147,3,3,147,49,93,31,31,49,true
1.0.3,141,3,3,141,47,93,31,31,47,true
1.0.3,174,3,3,174,58,93,31,31,58,true
1.0.3,462,3,3,462,154,93,31,31,154,true
1.0.3,342,3,3,342,114,93,31,31,114,true
1.0.3,504,3,3,504,168,93,31,31,168,true
1.0.3,303,3,3,303,101,93,31,31,101,true
1.0.3,288,3,3,288,96,93,31,31,96,true
1.0.3,222,3,3,222,74,93,31,31,74,true
1.0.3,321,3,3,321,107,93,31,31,107,true
1.0.3,303,3,3,303,101,93,31,31,101,true
1.0.3,230,1,0,230,230,20,20,20,230,false
1.0.3,193,1,0,193,193,20,20,20,193,false
1.0.3,117,1,0,117,117,20,20,20,117,false
1.0.3,105,1,0,105,105,20,20,20,105,false
1.0.3,35,1,0,35,35,20,20,20,35,false
1.0.3,213,1,0,213,213,20,20,20,213,false
1.0.3,104,1,0,104,104,20,20,20,104,false
1.0.3,67,1,0,67,67,20,20,20,67,false
1.0.3,127,1,0,127,127,20,20,20,127,false
1.0.3,64,1,0,64,64,20,20,20,64,false
1.0.3,226,1,0,226,226,20,20,20,226,false
1.0.3,106,1,0,106,106,20,20,20,106,false
1.0.3,241,1,0,241,241,20,20,20,241,false
1.0.3,36,1,0,36,36,20,20,20,36,false
1.0.3,58,1,0,58,58,20,20,20,58,false
1.0.3,1,1,0,0,0,20,20,20,0,false
1.0.3,161,1,0,158,158,20,20,20,158,false
1.0.3,12,4,4,0,0,16,4,4,0,true
1.0.3,12,4,4,0,0,16,4,4,0,true
1.0.3,8,4,4,0,0,16,4,4,0,true
1.0.3,1,1,1,0,0,1,1,1,0,true
1.0.3,82,3,0,81,41,19,9,6.333334,27,false
1.0.3,188,2,0,188,94,16,9,8,94,false
1.0.3,58,2,0,58,29,16,9,8,29,false
1.0.3,54,2,0,54,27,16,9,8,27,false
1.0.3,25,1,0,25,25,9,9,9,25,false
1.0.3,5,5,0,0,0,5,1,1,0,false
