@relation STORM_12-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.0.1}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {false,true}

@data
1.0.1,19,3,0,4,2,2946,2442,982,1.333333,false
1.0.1,21,3,0,4,2,2946,2442,982,1.333333,false
1.0.1,27,3,0,3,1,2946,2442,982,1,false
1.0.1,79,3,0,21,15,2946,2442,982,7,false
1.0.1,44,3,0,20,16,2946,2442,982,6.666666,false
1.0.1,109,3,0,4,2,2946,2442,982,1.333333,false
1.0.1,156,7,0,39,19,3034,2442,433.42856,5.571429,false
1.0.1,33,3,0,7,5,2946,2442,982,2.333333,false
1.0.1,82,3,0,16,14,2946,2442,982,5.333334,false
1.0.1,34,3,0,4,2,2946,2442,982,1.333333,false
1.0.1,18,3,0,3,1,2946,2442,982,1,false
1.0.1,38,3,0,7,5,2946,2442,982,2.333333,false
1.0.1,789,31,1,362,112,3426,2442,110.51613,11.67742,true
1.0.1,55,7,1,3,3,2992,2442,427.42856,0.428571,true
1.0.1,357,10,0,209,87,3186,2442,318.6,20.9,false
1.0.1,483,10,0,204,199,2997,2442,299.7,20.4,false
1.0.1,80,5,0,31,24,3029,2442,605.8,6.2,false
1.0.1,23,3,0,3,1,2946,2442,982,1,false
1.0.1,28,4,0,3,1,2986,2442,746.5,0.75,false
1.0.1,82,3,0,19,17,2946,2442,982,6.333334,false
1.0.1,102,5,0,17,8,3012,2442,602.4,3.4,false
1.0.1,29,4,0,0,0,2989,2442,747.25,0,false
1.0.1,24,3,0,12,6,547,397,182.33333,4,false
1.0.1,6,3,0,0,0,547,397,182.33333,0,false
1.0.1,69,3,0,17,15,2946,2442,982,5.666666,false
1.0.1,41,3,0,14,10,2946,2442,982,4.666666,false
1.0.1,22,3,0,3,1,2946,2442,982,1,false
1.0.1,28,3,0,7,3,2946,2442,982,2.333333,false
1.0.1,27,4,0,5,2,2964,2442,741,1.25,false
1.0.1,84,4,0,22,10,2964,2442,741,5.5,false
1.0.1,29,4,0,5,2,2964,2442,741,1.25,false
1.0.1,100,4,0,42,28,2964,2442,741,10.5,false
1.0.1,26,4,0,5,2,2964,2442,741,1.25,false
1.0.1,74,3,0,26,20,2946,2442,982,8.666667,false
1.0.1,4,2,0,2,1,504,397,252,1,false
1.0.1,36,5,0,3,1,2972,2442,594.4,0.6,false
1.0.1,27,3,0,6,2,2946,2442,982,2,false
1.0.1,27,3,0,6,2,2946,2442,982,2,false
1.0.1,52,3,0,4,2,2946,2442,982,1.333333,false
1.0.1,132,14,0,53,19,3078,2442,219.85715,3.785714,false
1.0.1,51,5,0,2,1,3016,2442,603.2,0.4,false
1.0.1,81,5,0,15,13,3016,2442,603.2,3,false
1.0.1,36,3,0,6,4,2946,2442,982,2,false
1.0.1,174,6,0,4,2,2977,2442,496.16666,0.666667,false
1.0.1,84,3,0,8,6,2946,2442,982,2.666667,false
1.0.1,22,3,0,5,3,2946,2442,982,1.666667,false
1.0.1,62,3,0,13,5,2946,2442,982,4.333334,false
1.0.1,47,3,0,10,4,2946,2442,982,3.333333,false
1.0.1,9,3,0,2,1,2946,2442,982,0.666667,false
1.0.1,491,12,0,73,37,3179,2442,264.91666,6.083334,false
1.0.1,43,3,0,3,1,2946,2442,982,1,false
1.0.1,65,3,0,13,9,2946,2442,982,4.333334,false
1.0.1,57,10,0,17,9,3025,2442,302.5,1.7,false
1.0.1,63,12,0,19,13,3043,2442,253.58333,1.583333,false
1.0.1,119,14,0,24,6,3069,2442,219.21428,1.714286,false
1.0.1,50,7,1,21,7,2960,2442,422.85715,3,true
1.0.1,47,4,0,4,3,2969,2442,742.25,1,false
1.0.1,14,4,0,4,2,2986,2442,746.5,1,false
1.0.1,584,13,0,213,149,3063,2442,235.61539,16.384615,false
1.0.1,247,26,0,53,21,3357,2442,129.11539,2.038461,false
1.0.1,61,3,0,8,4,2946,2442,982,2.666667,false
1.0.1,25,3,0,6,4,2946,2442,982,2,false
1.0.1,112,4,0,39,27,2989,2442,747.25,9.75,false
1.0.1,189,10,0,37,23,3085,2442,308.5,3.7,false
1.0.1,40,4,0,10,6,2989,2442,747.25,2.5,false
1.0.1,102,6,0,11,6,3039,2442,506.5,1.833333,false
1.0.1,40,4,0,11,5,2989,2442,747.25,2.75,false
1.0.1,23,3,0,4,2,2946,2442,982,1.333333,false
1.0.1,48,8,0,13,3,3137,2442,392.125,1.625,false
1.0.1,41,8,1,6,6,2956,2442,369.5,0.75,true
1.0.1,102,17,1,29,8,3568,2442,209.88235,1.705882,true
1.0.1,65,7,1,10,5,2944,2442,420.57144,1.428572,true
1.0.1,188,4,0,186,62,2909,2442,727.25,46.5,false
1.0.1,249,3,0,249,83,2888,2442,962.6667,83,false
1.0.1,296,4,0,91,89,3045,2442,761.25,22.75,false
1.0.1,128,7,2,78,28,2904,2442,414.85715,11.142858,true
