Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.10.2,storm-core/src/jvm/org/apache/storm/cluster/ZKStateStorage.java,4,4,3,0,0,686,298,171.5,0,true
0.10.2,storm-core/src/jvm/org/apache/storm/utils/DisruptorQueue.java,100,9,5,77,11,695,298,77.22222,8.555555,true
0.10.2,storm-core/test/jvm/org/apache/storm/nimbus/LocalNimbusTest.java,660,5,2,660,132,687,298,137.4,132,true
0.10.2,external/sql/storm-sql-runtime/src/test/org/apache/storm/sql/TestUtils.java,433,10,2,431,77,896,298,89.6,43.1,true
0.10.2,external/sql/storm-sql-runtime/src/jvm/org/apache/storm/sql/runtime/Channels.java,186,10,2,186,31,896,298,89.6,18.6,true
0.10.2,external/sql/storm-sql-runtime/src/jvm/org/apache/storm/sql/runtime/ChannelHandler.java,24,10,2,24,4,896,298,89.6,2.4,true
0.10.2,external/sql/storm-sql-runtime/src/jvm/org/apache/storm/sql/runtime/ChannelContext.java,12,10,2,12,2,896,298,89.6,1.2,true
0.10.2,external/sql/storm-sql-runtime/src/jvm/org/apache/storm/sql/runtime/AbstractChannelHandler.java,60,10,2,60,10,896,298,89.6,6,true
0.10.2,external/sql/storm-sql-core/src/jvm/org/apache/storm/sql/compiler/backends/standalone/RelNodeCompiler.java,1899,10,2,1862,346,896,298,89.6,186.2,true
0.10.2,storm-core/src/jvm/org/apache/storm/utils/Utils.java,243,27,8,214,29,976,298,36.148148,7.9259257,true
0.10.2,storm-core/src/jvm/org/apache/storm/blobstore/BlobStoreAclHandler.java,80,8,2,80,10,699,298,87.375,10,true
0.10.2,storm-core/src/jvm/org/apache/storm/Config.java,364,25,2,342,46,1025,298,41,13.68,true
0.10.2,external/storm-redis/src/main/java/org/apache/storm/redis/common/mapper/RedisDataTypeDescription.java,21,7,2,0,0,704,298,100.57143,0,true
0.10.2,external/storm-redis/src/main/java/org/apache/storm/redis/common/container/JedisClusterContainer.java,16,8,3,7,1,708,298,88.5,0.875,true
0.10.2,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/RedisStoreBolt.java,112,12,2,91,13,889,298,74.083336,7.5833335,true
0.10.2,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/RedisLookupBolt.java,35,12,2,28,4,889,298,74.083336,2.3333333,true
0.10.2,storm-core/src/jvm/org/apache/storm/stats/StatsUtil.java,308,6,2,252,132,712,298,118.666664,42,true
0.10.2,storm-core/src/jvm/org/apache/storm/utils/BatchHelper.java,552,6,2,552,92,699,298,116.5,92,true
0.10.2,external/storm-mongodb/src/main/java/org/apache/storm/mongodb/bolt/MongoInsertBolt.java,318,6,2,114,19,699,298,116.5,19,true
0.10.2,external/storm-hive/src/main/java/org/apache/storm/hive/bolt/HiveBolt.java,162,6,2,24,4,699,298,116.5,4,true
0.10.2,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseBolt.java,198,6,2,66,11,699,298,116.5,11,true
0.10.2,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/AbstractHBaseBolt.java,106,14,2,100,10,870,298,62.142857,7.142857,true
0.10.2,external/storm-kafka/src/jvm/org/apache/storm/kafka/StringMultiSchemeWithTopic.java,14,7,6,0,0,688,298,98.28571,0,true
0.10.2,external/storm-redis/src/main/java/org/apache/storm/redis/common/config/JedisPoolConfig.java,16,8,2,0,0,689,298,86.125,0,true
0.10.2,storm-core/src/jvm/org/apache/storm/messaging/local/Context.java,31,1,1,27,27,3,3,3,27,true
0.10.2,external/storm-kafka/src/test/org/apache/storm/kafka/KafkaTestBroker.java,72,14,10,32,4,911,298,65.07143,2.2857144,true
0.10.2,external/storm-solr/src/test/java/org/apache/storm/solr/topology/SolrTopology.java,40,8,2,16,2,689,298,86.125,2,true
0.10.2,storm-core/src/jvm/org/apache/storm/pacemaker/codec/ThriftDecoder.java,130,10,5,16,2,696,298,69.6,1.6,true
0.10.2,storm-core/src/jvm/org/apache/storm/pacemaker/PacemakerServer.java,16,8,5,0,0,694,298,86.75,0,true
0.10.2,storm-core/test/jvm/org/apache/storm/scheduler/resource/TestUtilsForResourceAwareScheduler.java,245,5,2,48,12,691,298,138.2,9.6,true
0.10.2,storm-core/src/jvm/org/apache/storm/topology/base/BaseWindowedBolt.java,652,14,8,620,101,885,298,63.214287,44.285713,true
0.10.2,examples/storm-starter/src/jvm/org/apache/storm/starter/SlidingWindowTopology.java,12,6,5,0,0,693,298,115.5,0,true
0.10.2,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/spout/KafkaSpoutRetryExponentialBackoff.java,16,8,3,0,0,693,298,86.625,0,true
0.10.2,external/sql/storm-sql-core/src/test/org/apache/storm/sql/TestStormSql.java,1235,9,2,1235,231,890,298,98.888885,137.22223,true
0.10.2,external/sql/storm-sql-core/src/jvm/org/apache/storm/sql/compiler/backends/standalone/PlanCompiler.java,125,9,2,12,2,890,298,98.888885,1.3333334,true
0.10.2,external/sql/storm-sql-core/src/jvm/org/apache/storm/sql/compiler/backends/standalone/BuiltinAggregateFunctions.java,890,5,2,890,178,706,298,141.2,178,true
0.10.2,external/sql/storm-sql-core/src/jvm/org/apache/storm/sql/compiler/ExprCompiler.java,5,5,2,0,0,706,298,141.2,0,true
0.10.2,external/sql/storm-sql-core/src/jvm/org/apache/storm/sql/StormSqlImpl.java,75,5,2,65,13,706,298,141.2,13,true
0.10.2,external/storm-kafka/src/jvm/org/apache/storm/kafka/PartitionManager.java,175,23,6,45,6,804,298,34.95652,1.9565217,true
0.10.2,storm-core/src/jvm/org/apache/storm/generated/HBMessageData.java,24,8,7,0,0,699,298,87.375,0,true
0.10.2,external/flux/flux-wrappers/src/main/java/org/apache/storm/flux/wrappers/bolts/FluxShellBolt.java,140,10,2,98,14,692,298,69.2,9.8,true
0.10.2,external/flux/flux-wrappers/src/main/java/org/apache/storm/flux/wrappers/spouts/FluxShellSpout.java,133,7,2,98,14,689,298,98.42857,14,true
0.10.2,external/sql/storm-sql-core/src/jvm/org/apache/storm/sql/compiler/PostOrderRelNodeVisitor.java,36,6,1,36,6,750,298,125,6,true
0.10.2,external/storm-kafka/src/jvm/org/apache/storm/kafka/Partition.java,14,7,6,7,1,693,298,99,1,true
0.10.2,storm-core/src/jvm/org/apache/storm/trident/spout/PartitionedTridentSpoutExecutor.java,171,12,5,42,6,853,298,71.083336,3.5,true
0.10.2,storm-core/src/jvm/org/apache/storm/spout/SpoutOutputCollector.java,56,7,6,0,0,690,298,98.57143,0,true
0.10.2,storm-core/src/jvm/org/apache/storm/topology/WindowedBoltExecutor.java,170,15,5,157,24,768,298,51.2,10.466666,true
0.10.2,external/storm-kafka/src/jvm/org/apache/storm/kafka/KafkaUtils.java,10,10,3,0,0,760,298,76,0,true
