@relation STORM_6-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.09.5}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,184,13,2,174,22,2328,435,179.07692,13.384615,true
0.09.5,194,18,3,170,17,4020,519,223.33333,9.444445,true
0.09.5,178,18,3,170,17,4020,519,223.33333,9.444445,true
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,233,14,0,199,27,2855,519,203.92857,14.214286,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,194,17,1,170,17,3096,519,182.11765,10,true
0.09.5,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,436,15,0,408,250,3001,519,200.06667,27.2,false
0.09.5,211,10,0,211,49,2835,519,283.5,21.1,false
0.09.5,160,10,0,150,15,2806,519,280.6,15,false
0.09.5,2425,52,2,1809,273,4115,519,79.13461,34.78846,true
0.09.5,882,22,0,769,131,3503,519,159.22728,34.954544,false
0.09.5,18,2,0,13,13,210,156,105,6.5,false
0.09.5,17,1,0,15,15,54,54,54,15,false
0.09.5,4,1,0,0,0,54,54,54,0,false
