Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisClusterMapState.java,767,15,0,306,294,823,505,54.866665,20.4,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/mapper/TupleMapper.java,135,5,0,135,27,743,505,148.6,27,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/mapper/RedisStoreMapper.java,105,5,0,105,21,743,505,148.6,21,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/mapper/RedisMapper.java,110,5,0,110,22,743,505,148.6,22,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/mapper/RedisLookupMapper.java,200,5,0,200,40,743,505,148.6,40,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/mapper/RedisDataTypeDescription.java,250,5,0,250,50,743,505,148.6,50,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/container/JedisContainer.java,351,11,1,315,65,1367,505,124.27273,28.636364,true
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/container/JedisCommandsInstanceContainer.java,125,5,0,125,25,743,505,148.6,25,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/container/JedisCommandsContainerBuilder.java,190,5,0,190,38,743,505,148.6,38,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/container/JedisClusterContainer.java,235,5,0,235,47,743,505,148.6,47,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/config/JedisPoolConfig.java,485,5,0,485,97,743,505,148.6,97,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/common/config/JedisClusterConfig.java,410,5,0,410,82,743,505,148.6,82,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/RedisStoreBolt.java,500,5,0,500,100,743,505,148.6,100,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/RedisLookupBolt.java,560,5,0,560,112,743,505,148.6,112,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/AbstractRedisBolt.java,83,5,0,67,67,743,505,148.6,13.4,false
0.9.6,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/SequenceFileBolt.java,8,8,1,0,0,946,505,118.25,0,true
0.9.6,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/HdfsBolt.java,8,8,1,0,0,946,505,118.25,0,true
0.9.6,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseLookupBolt.java,16,8,1,0,0,946,505,118.25,0,true
0.9.6,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseBolt.java,8,8,1,0,0,946,505,118.25,0,true
0.9.6,flux-core/src/main/java/org/apache/storm/flux/parser/FluxParser.java,56,4,0,22,14,17,7,4.25,5.5,false
0.9.6,flux-wrappers/src/main/java/org/apache/storm/flux/wrappers/spouts/FluxShellSpout.java,2,1,0,1,1,7,7,7,1,false
0.9.6,flux-wrappers/src/main/java/org/apache/storm/flux/wrappers/bolts/FluxShellBolt.java,2,1,0,1,1,7,7,7,1,false
0.9.6,external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java,8,8,2,0,0,1030,505,128.75,0,true
0.9.6,storm-core/src/jvm/backtype/storm/utils/Utils.java,1043,20,3,646,71,1380,505,69,32.3,true
0.9.6,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,11,9,1,0,0,1147,505,127.44444,0,true
0.9.6,storm-core/src/jvm/backtype/storm/utils/NimbusClient.java,95,10,0,83,17,953,505,95.3,8.3,false
0.9.6,storm-core/src/jvm/backtype/storm/security/auth/SimpleTransportPlugin.java,19,8,1,9,2,841,505,105.125,1.125,true
0.9.6,storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java,16,9,1,7,1,719,505,79.888885,0.7777778,true
0.9.6,storm-core/src/jvm/backtype/storm/utils/TupleUtils.java,245,7,1,245,35,714,505,102,35,true
0.9.6,external/storm-kafka/src/jvm/storm/kafka/bolt/KafkaBolt.java,53,15,2,47,9,1119,505,74.6,3.1333334,true
0.9.6,examples/storm-starter/src/jvm/storm/starter/bolt/RollingCountBolt.java,22,8,1,7,1,717,505,89.625,0.875,true
0.9.6,examples/storm-starter/src/jvm/storm/starter/bolt/AbstractRankerBolt.java,22,8,1,7,1,717,505,89.625,0.875,true
0.9.6,examples/storm-starter/src/jvm/storm/starter/bolt/RollingCountAggBolt.java,86,7,1,77,77,703,505,100.42857,11,true
0.9.6,external/storm-redis/src/test/java/org/apache/storm/redis/trident/WordCountStoreMapper.java,106,6,0,105,22,125,48,20.833334,17.5,false
0.9.6,external/storm-redis/src/test/java/org/apache/storm/redis/trident/WordCountLookupMapper.java,178,6,0,177,40,125,48,20.833334,29.5,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/AbstractRedisStateUpdater.java,278,5,0,276,69,269,203,53.8,55.2,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/AbstractRedisStateQuerier.java,276,4,0,276,69,66,20,16.5,69,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/Options.java,136,9,0,134,33,79,20,8.777778,14.888889,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/KeyFactory.java,140,5,0,140,35,66,20,13.2,28,false
0.9.6,external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/AbstractRedisMapState.java,377,6,0,375,96,69,20,11.5,62.5,false
0.9.6,flux-examples/src/main/java/org/apache/storm/flux/examples/WordCounter.java,71,1,0,71,71,8,8,8,71,false
0.9.6,flux-examples/src/main/java/org/apache/storm/flux/examples/WordCountClient.java,69,2,0,66,63,14,8,7,33,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ClusterWorkerHeartbeat.java,1569,14,1,1517,769,1367,505,97.64286,108.35714,true
0.9.6,storm-core/test/jvm/backtype/storm/serialization/GzipBridgeThriftSerializationDelegateTest.java,568,8,1,568,71,1137,505,142.125,71,true
0.9.6,storm-core/src/jvm/backtype/storm/serialization/GzipThriftSerializationDelegate.java,456,8,1,456,57,1137,505,142.125,57,true
0.9.6,storm-core/src/jvm/backtype/storm/serialization/GzipBridgeThriftSerializationDelegate.java,518,10,1,514,65,1141,505,114.1,51.4,true
0.9.6,flux-core/src/main/java/org/apache/storm/flux/model/VertexDef.java,1,1,0,0,0,1,1,1,0,false
0.9.6,external/storm-kafka/src/jvm/storm/kafka/MessageMetadataSchemeAsMultiScheme.java,2,1,0,0,0,1,1,1,0,false
0.9.6,storm-core/src/jvm/backtype/storm/utils/LocalState.java,368,8,1,72,9,1087,505,135.875,9,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/ThriftSerializedObject.java,4128,8,1,4128,516,1087,505,135.875,516,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/LocalStateData.java,3793,9,1,3768,471,1123,505,124.77778,418.66666,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/LocalAssignment.java,4507,9,1,4488,561,1123,505,124.77778,498.66666,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/LSWorkerHeartbeat.java,6059,9,1,6040,755,1123,505,124.77778,671.1111,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/LSSupervisorId.java,3248,8,1,3248,406,1087,505,135.875,406,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/LSSupervisorAssignments.java,3793,9,1,3768,471,1123,505,124.77778,418.66666,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/LSApprovedWorkers.java,3687,9,1,3664,458,1123,505,124.77778,407.1111,true
0.9.6,storm-core/src/jvm/backtype/storm/utils/TransferDrainer.java,108,6,0,4,1,212,203,35.333332,0.6666667,false
