Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
1.0.3,storm-core/src/jvm/org/apache/storm/utils/Utils.java,67,11,6,67,21,56,12,5.090909,6.090909,true
1.0.3,storm-core/src/jvm/org/apache/storm/daemon/StormCommon.java,2,2,0,0,0,2,1,1,0,true
1.0.3,storm-core/src/jvm/org/apache/storm/Config.java,56,7,0,54,9,60,12,8.571428,7.714286,true
1.0.3,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/RedisStoreBolt.java,6,6,6,0,0,150,27,25,0,true
1.0.3,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/RedisLookupBolt.java,6,6,6,0,0,150,27,25,0,true
1.0.3,external/storm-kafka/src/jvm/org/apache/storm/kafka/trident/TridentKafkaEmitter.java,48,4,0,24,12,28,7,7,6,true
1.0.3,external/storm-kafka/src/jvm/org/apache/storm/kafka/ZkCoordinator.java,8,2,0,2,1,6,3,3,1,true
1.0.3,external/storm-kafka/src/jvm/org/apache/storm/kafka/PartitionManager.java,98,2,0,0,0,6,3,3,0,true
1.0.3,external/storm-kafka/src/jvm/org/apache/storm/kafka/KafkaSpout.java,126,6,0,126,21,6,1,1,21,true
1.0.3,external/storm-kafka/src/jvm/org/apache/storm/kafka/DynamicBrokersReader.java,2,2,0,0,0,4,2,2,0,true
1.0.3,external/storm-hive/src/main/java/org/apache/storm/hive/bolt/HiveBolt.java,108,3,0,60,20,3,1,1,20,true
1.0.3,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/AbstractRedisBolt.java,24,6,6,18,3,150,27,25,3,true
1.0.3,external/storm-redis/src/main/java/org/apache/storm/redis/bolt/RedisFilterBolt.java,4,4,4,0,0,106,27,26.5,0,true
1.0.3,external/storm-kafka-client/src/test/java/org/apache/storm/kafka/spout/test/KafkaSpoutTopologyMainWildcardTopics.java,4,4,0,0,0,69,28,17.25,0,true
1.0.3,external/storm-kafka-client/src/test/java/org/apache/storm/kafka/spout/test/KafkaSpoutTopologyMainNamedTopics.java,12,4,0,0,0,69,28,17.25,0,true
1.0.3,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/spout/KafkaSpoutConfig.java,96,6,0,56,14,31,9,5.1666665,9.333333,true
1.0.3,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/spout/KafkaSpout.java,965,15,0,104,25,116,28,7.733333,6.9333334,true
1.0.3,storm-core/src/jvm/org/apache/storm/utils/Time.java,282,4,0,84,22,69,28,17.25,21,false
1.0.3,external/storm-kafka-client/src/test/java/org/apache/storm/kafka/spout/SingleTopicKafkaSpoutTest.java,658,8,0,50,8,85,28,10.625,6.25,false
1.0.3,external/storm-kafka-client/src/test/java/org/apache/storm/kafka/spout/KafkaSpoutRebalanceTest.java,517,7,0,367,180,88,28,12.571428,52.42857,false
1.0.3,external/storm-kafka-client/src/test/java/org/apache/storm/kafka/spout/KafkaSpoutConfigTest.java,60,8,0,36,9,89,28,11.125,4.5,false
1.0.3,external/storm-kafka-client/src/test/java/org/apache/storm/kafka/spout/DefaultRecordTranslatorTest.java,4,4,0,0,0,69,28,17.25,0,false
1.0.3,external/storm-kafka-client/src/test/java/org/apache/storm/kafka/spout/ByTopicRecordTranslatorTest.java,4,4,0,0,0,69,28,17.25,0,false
1.0.3,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/spout/internal/Timer.java,16,4,0,4,1,69,28,17.25,1,false
1.0.3,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/spout/internal/OffsetManager.java,628,4,0,628,157,69,28,17.25,157,false
1.0.3,storm-core/test/jvm/org/apache/storm/daemon/supervisor/SlotTest.java,50,2,0,2,1,28,14,14,1,false
1.0.3,storm-core/src/jvm/org/apache/storm/blobstore/BlobStoreUtils.java,7,5,2,5,1,48,28,9.6,1,true
1.0.3,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventHubSpoutConfig.java,23,2,0,20,10,4,2,2,10,false
1.0.3,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventHubSpout.java,4,2,0,2,1,4,2,2,1,false
1.0.3,storm-core/src/jvm/org/apache/storm/metric/cgroup/CGroupMetricsBase.java,171,4,0,145,114,22,12,5.5,36.25,false
1.0.3,storm-core/src/jvm/org/apache/storm/metric/cgroup/CGroupMemoryUsage.java,46,2,0,43,39,20,12,10,21.5,false
1.0.3,storm-core/src/jvm/org/apache/storm/metric/cgroup/CGroupMemoryLimit.java,46,2,0,43,39,20,12,10,21.5,false
1.0.3,storm-core/src/jvm/org/apache/storm/metric/cgroup/CGroupCpuGuarantee.java,86,3,0,57,52,22,12,7.3333335,19,false
1.0.3,storm-core/src/jvm/org/apache/storm/metric/cgroup/CGroupCpu.java,110,2,0,79,70,20,12,10,39.5,false
1.0.3,storm-core/src/jvm/org/apache/storm/container/cgroup/Hierarchy.java,2,2,0,0,0,20,12,10,0,false
1.0.3,storm-core/src/jvm/org/apache/storm/container/cgroup/CgroupCoreFactory.java,110,2,0,50,25,20,12,10,25,false
1.0.3,storm-core/src/jvm/org/apache/storm/pacemaker/Pacemaker.java,4,3,0,1,1,5,2,1.6666666,0.33333334,false
1.0.3,storm-core/src/jvm/org/apache/storm/cluster/PaceMakerStateStorage.java,18,2,0,4,2,4,2,2,2,false
1.0.3,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/trident/TridentKafkaState.java,72,4,0,0,0,4,1,1,0,false
1.0.3,external/storm-kafka-client/src/main/java/org/apache/storm/kafka/spout/Func.java,12,4,0,8,2,4,1,1,2,false
1.0.3,storm-core/test/jvm/org/apache/storm/bolt/TestJoinBolt.java,718,5,0,715,356,30,9,6,143,false
1.0.3,storm-core/src/jvm/org/apache/storm/bolt/JoinBolt.java,1194,6,0,1187,593,31,9,5.1666665,197.83333,false
1.0.3,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/SingleJoinBolt.java,8,2,0,8,4,18,9,9,4,false
1.0.3,examples/storm-starter/src/jvm/org/apache/storm/starter/SingleJoinExample.java,8,2,0,8,4,18,9,9,4,false
1.0.3,examples/storm-starter/src/jvm/org/apache/storm/starter/JoinBoltExample.java,178,6,0,174,87,32,9,5.3333335,29,false
1.0.3,external/storm-jdbc/src/main/java/org/apache/storm/jdbc/common/HikariCPConnectionProvider.java,40,4,0,40,10,4,1,1,10,false
