@relation STORM_11-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.10.2}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
0.10.2,4,4,3,0,0,686,298,171.5,0,true
0.10.2,100,9,5,77,11,695,298,77.22222,8.555555,true
0.10.2,660,5,2,660,132,687,298,137.4,132,true
0.10.2,433,10,2,431,77,896,298,89.6,43.1,true
0.10.2,186,10,2,186,31,896,298,89.6,18.6,true
0.10.2,24,10,2,24,4,896,298,89.6,2.4,true
0.10.2,12,10,2,12,2,896,298,89.6,1.2,true
0.10.2,60,10,2,60,10,896,298,89.6,6,true
0.10.2,1899,10,2,1862,346,896,298,89.6,186.2,true
0.10.2,243,27,8,214,29,976,298,36.148148,7.925926,true
0.10.2,80,8,2,80,10,699,298,87.375,10,true
0.10.2,364,25,2,342,46,1025,298,41,13.68,true
0.10.2,21,7,2,0,0,704,298,100.57143,0,true
0.10.2,16,8,3,7,1,708,298,88.5,0.875,true
0.10.2,112,12,2,91,13,889,298,74.083336,7.583334,true
0.10.2,35,12,2,28,4,889,298,74.083336,2.333333,true
0.10.2,308,6,2,252,132,712,298,118.666664,42,true
0.10.2,552,6,2,552,92,699,298,116.5,92,true
0.10.2,318,6,2,114,19,699,298,116.5,19,true
0.10.2,162,6,2,24,4,699,298,116.5,4,true
0.10.2,198,6,2,66,11,699,298,116.5,11,true
0.10.2,106,14,2,100,10,870,298,62.142857,7.142857,true
0.10.2,14,7,6,0,0,688,298,98.28571,0,true
0.10.2,16,8,2,0,0,689,298,86.125,0,true
0.10.2,31,1,1,27,27,3,3,3,27,true
0.10.2,72,14,10,32,4,911,298,65.07143,2.285714,true
0.10.2,40,8,2,16,2,689,298,86.125,2,true
