@relation STORM_8-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.09.7}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
0.09.7,33,1,0,30,30,205,205,205,30,true
0.09.7,132,1,0,132,132,205,205,205,132,true
0.09.7,174,1,0,134,134,205,205,205,134,true
0.09.7,103,1,0,39,39,205,205,205,39,true
0.09.7,88,1,0,66,66,205,205,205,66,true
0.09.7,10,2,0,7,7,215,205,107.5,3.5,true
0.09.7,22,1,0,13,13,205,205,205,13,true
0.09.7,4,1,0,1,1,205,205,205,1,true
0.09.7,1,1,0,0,0,205,205,205,0,true
0.09.7,678,5,0,678,151,250,205,50,135.6,true
0.09.7,7,1,0,0,0,205,205,205,0,true
0.09.7,14,1,0,12,12,205,205,205,12,true
0.09.7,15,1,0,4,4,205,205,205,4,true
0.09.7,1,1,1,0,0,1,1,1,0,true
0.09.7,76,1,0,67,67,205,205,205,67,true
0.09.7,32,4,0,4,1,45,12,11.25,1,true
0.09.7,1,1,0,0,0,205,205,205,0,true
0.09.7,19,1,0,16,16,205,205,205,16,true
0.09.7,5,1,0,0,0,205,205,205,0,true
0.09.7,5,1,0,0,0,205,205,205,0,true
0.09.7,3,1,0,0,0,205,205,205,0,true
0.09.7,22,1,0,7,7,205,205,205,7,true
0.09.7,1,1,0,0,0,1,1,1,0,true
0.09.7,2,1,0,0,0,1,1,1,0,true
0.09.7,52,1,0,4,4,205,205,205,4,true
0.09.7,114,1,0,114,114,1,1,1,114,false
0.09.7,2,1,0,2,2,205,205,205,2,false
0.09.7,39,1,0,39,39,205,205,205,39,false
0.09.7,12,1,0,12,12,205,205,205,12,false
0.09.7,266,1,0,266,266,205,205,205,266,false
0.09.7,61,1,0,61,61,205,205,205,61,false
0.09.7,163,1,0,163,163,205,205,205,163,false
0.09.7,90,1,0,90,90,205,205,205,90,false
0.09.7,297,1,0,297,297,205,205,205,297,false
0.09.7,72,1,0,72,72,205,205,205,72,false
0.09.7,6,1,0,1,1,205,205,205,1,false
0.09.7,4,1,0,4,4,205,205,205,4,false
0.09.7,3,1,0,0,0,205,205,205,0,false
0.09.7,10,1,0,9,9,205,205,205,9,false
0.09.7,10,1,0,1,1,205,205,205,1,false
0.09.7,1,1,0,1,1,205,205,205,1,false
0.09.7,4,1,0,3,3,205,205,205,3,false
0.09.7,1,1,0,1,1,205,205,205,1,false
0.09.7,2,1,0,1,1,205,205,205,1,false
0.09.7,2,1,0,1,1,205,205,205,1,false
0.09.7,9,1,0,9,9,205,205,205,9,false
0.09.7,1,1,0,0,0,205,205,205,0,false
0.09.7,17,1,0,14,14,205,205,205,14,false
0.09.7,1880,1,0,1880,1880,205,205,205,1880,false
0.09.7,132,1,0,0,0,205,205,205,0,false
0.09.7,219,1,0,157,157,205,205,205,157,false
0.09.7,80,1,0,0,0,205,205,205,0,false
0.09.7,16,1,0,0,0,205,205,205,0,false
0.09.7,22,1,0,0,0,205,205,205,0,false
0.09.7,624,1,0,624,624,205,205,205,624,false
0.09.7,76,1,0,0,0,205,205,205,0,false
0.09.7,315,1,0,256,256,205,205,205,256,false
0.09.7,46,1,0,0,0,205,205,205,0,false
0.09.7,136,1,0,0,0,205,205,205,0,false
0.09.7,18,1,0,0,0,205,205,205,0,false
0.09.7,22,1,0,0,0,205,205,205,0,false
0.09.7,16,1,0,0,0,205,205,205,0,false
0.09.7,1320,1,0,1302,1302,205,205,205,1302,false
0.09.7,24,1,0,0,0,205,205,205,0,false
0.09.7,24,1,0,0,0,205,205,205,0,false
0.09.7,18,1,0,0,0,205,205,205,0,false
0.09.7,16,1,0,0,0,205,205,205,0,false
0.09.7,18,1,0,0,0,205,205,205,0,false
0.09.7,18,1,0,0,0,205,205,205,0,false
0.09.7,32,1,0,0,0,205,205,205,0,false
0.09.7,24,1,0,0,0,205,205,205,0,false
