Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.10.1,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/windowing/HBaseWindowsStore.java,187,6,0,70,14,218,125,36.333332,11.666667,false
0.10.1,storm-core/src/jvm/org/apache/storm/utils/DisruptorQueue.java,103,10,0,75,16,216,125,21.6,7.5,true
0.10.1,storm-core/src/jvm/org/apache/storm/metric/internal/RateTracker.java,156,6,0,0,0,209,125,34.833332,0,false
0.10.1,external/storm-kafka/src/test/org/apache/storm/kafka/ExponentialBackoffMsgRetryManagerTest.java,65,1,0,31,31,5,5,5,31,false
0.10.1,external/storm-kafka/src/jvm/org/apache/storm/kafka/SpoutConfig.java,2,1,0,2,2,5,5,5,2,false
0.10.1,external/storm-kafka/src/jvm/org/apache/storm/kafka/PartitionManager.java,19,2,0,5,5,6,5,3,2.5,false
0.10.1,external/storm-kafka/src/jvm/org/apache/storm/kafka/FailedMsgRetryManager.java,8,1,0,1,1,5,5,5,1,false
0.10.1,external/storm-kafka/src/jvm/org/apache/storm/kafka/ExponentialBackoffMsgRetryManager.java,11,1,0,0,0,5,5,5,0,false
0.10.1,storm-core/src/jvm/org/apache/storm/stats/SpoutExecutorStats.java,12,3,0,0,0,76,66,25.333334,0,false
0.10.1,storm-core/src/jvm/org/apache/storm/stats/BoltExecutorStats.java,15,3,0,6,2,76,66,25.333334,2,false
0.10.1,storm-core/test/jvm/org/apache/storm/scheduler/resource/TestResourceAwareScheduler.java,240,4,0,240,61,195,125,48.75,60,false
0.10.1,storm-core/src/jvm/org/apache/storm/scheduler/resource/strategies/scheduling/DefaultResourceAwareStrategy.java,24,4,0,8,2,195,125,48.75,2,false
0.10.1,external/sql/storm-sql-runtime/src/test/org/apache/storm/sql/TestUtils.java,59,6,0,57,33,222,125,37,9.5,false
0.10.1,external/sql/storm-sql-core/src/test/org/apache/storm/sql/parser/TestSqlParser.java,24,4,0,24,6,211,125,52.75,6,false
0.10.1,external/sql/storm-sql-core/src/test/org/apache/storm/sql/compiler/backends/standalone/TestPlanCompiler.java,64,4,0,64,16,211,125,52.75,16,false
0.10.1,external/sql/storm-sql-core/src/test/org/apache/storm/sql/compiler/TestCompilerUtils.java,56,4,0,52,13,211,125,52.75,13,false
0.10.1,external/sql/storm-sql-core/src/test/org/apache/storm/sql/TestStormSql.java,411,6,0,399,136,222,125,37,66.5,false
0.10.1,external/sql/storm-sql-core/src/jvm/org/apache/storm/sql/parser/SqlCreateFunction.java,376,4,0,376,94,211,125,52.75,94,false
