@relation STORM_3-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.9.2-incubating}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {false,true}

@data
0.9.2-incubating,67,1,0,67,67,151,151,151,67,false
0.9.2-incubating,10,1,0,10,10,151,151,151,10,false
0.9.2-incubating,23,1,0,23,23,151,151,151,23,false
0.9.2-incubating,211,7,0,205,197,238,151,34,29.285715,false
0.9.2-incubating,25,4,0,22,22,259,151,64.75,5.5,false
0.9.2-incubating,22,4,0,16,16,259,151,64.75,4,false
0.9.2-incubating,12,1,0,12,12,151,151,151,12,false
0.9.2-incubating,41,4,0,35,35,259,151,64.75,8.75,false
0.9.2-incubating,14,1,0,14,14,151,151,151,14,false
0.9.2-incubating,54,4,0,51,45,259,151,64.75,12.75,false
0.9.2-incubating,21,1,0,21,21,151,151,151,21,false
0.9.2-incubating,38,5,0,34,34,198,151,39.6,6.8,false
0.9.2-incubating,44,1,0,44,44,151,151,151,44,false
0.9.2-incubating,28,1,0,28,28,151,151,151,28,false
0.9.2-incubating,23,1,0,23,23,151,151,151,23,false
0.9.2-incubating,78,1,0,78,78,151,151,151,78,false
0.9.2-incubating,10,1,0,10,10,151,151,151,10,false
0.9.2-incubating,39,1,0,39,39,151,151,151,39,false
0.9.2-incubating,36,1,0,36,36,151,151,151,36,false
0.9.2-incubating,148,2,0,141,138,154,151,77,70.5,false
0.9.2-incubating,12,1,0,12,12,151,151,151,12,false
0.9.2-incubating,34,1,0,34,34,151,151,151,34,false
0.9.2-incubating,80,2,0,78,77,154,151,77,39,false
0.9.2-incubating,82,5,0,82,78,178,151,35.6,16.4,false
0.9.2-incubating,31,1,0,31,31,151,151,151,31,false
0.9.2-incubating,12,1,0,12,12,151,151,151,12,false
0.9.2-incubating,36,1,0,36,36,151,151,151,36,false
0.9.2-incubating,32,1,0,32,32,151,151,151,32,false
0.9.2-incubating,44,1,0,44,44,151,151,151,44,false
0.9.2-incubating,39,1,0,39,39,151,151,151,39,false
0.9.2-incubating,36,1,0,36,36,151,151,151,36,false
0.9.2-incubating,96,1,0,96,96,151,151,151,96,false
0.9.2-incubating,25,1,0,25,25,151,151,151,25,false
0.9.2-incubating,25,1,0,25,25,151,151,151,25,false
0.9.2-incubating,27,1,0,27,27,151,151,151,27,false
0.9.2-incubating,21,1,0,21,21,151,151,151,21,false
0.9.2-incubating,108,1,0,108,108,151,151,151,108,false
0.9.2-incubating,14,1,0,14,14,151,151,151,14,false
0.9.2-incubating,21,1,0,21,21,151,151,151,21,false
0.9.2-incubating,69,6,0,59,14,197,151,32.833332,9.833333,false
0.9.2-incubating,24,1,0,24,24,151,151,151,24,false
0.9.2-incubating,80,9,0,71,32,276,151,30.666666,7.888889,false
0.9.2-incubating,19,1,0,19,19,151,151,151,19,false
0.9.2-incubating,9,1,0,9,9,151,151,151,9,false
0.9.2-incubating,9,1,0,9,9,151,151,151,9,false
0.9.2-incubating,9,1,0,9,9,151,151,151,9,false
0.9.2-incubating,14,1,0,14,14,151,151,151,14,false
0.9.2-incubating,15,2,0,14,14,154,151,77,7,false
0.9.2-incubating,7,1,0,7,7,151,151,151,7,false
0.9.2-incubating,8,1,0,8,8,151,151,151,8,false
0.9.2-incubating,5,1,0,5,5,151,151,151,5,false
0.9.2-incubating,12,1,0,12,12,151,151,151,12,false
0.9.2-incubating,15,1,0,15,15,151,151,151,15,false
0.9.2-incubating,6,1,0,6,6,151,151,151,6,false
0.9.2-incubating,6,1,0,6,6,151,151,151,6,false
0.9.2-incubating,6,1,0,6,6,151,151,151,6,false
0.9.2-incubating,8,1,0,8,8,151,151,151,8,false
0.9.2-incubating,9,1,0,9,9,151,151,151,9,false
0.9.2-incubating,70,1,0,70,70,151,151,151,70,false
0.9.2-incubating,106,1,0,106,106,151,151,151,106,false
0.9.2-incubating,17,1,0,17,17,151,151,151,17,false
0.9.2-incubating,7,1,0,7,7,151,151,151,7,false
0.9.2-incubating,14,1,0,14,14,151,151,151,14,false
0.9.2-incubating,165,4,0,165,153,259,151,64.75,41.25,false
0.9.2-incubating,9,1,0,9,9,151,151,151,9,false
0.9.2-incubating,15,1,0,15,15,151,151,151,15,false
0.9.2-incubating,15,1,0,15,15,151,151,151,15,false
0.9.2-incubating,173,4,0,161,161,200,151,50,40.25,false
0.9.2-incubating,95,1,0,95,95,151,151,151,95,false
0.9.2-incubating,799,5,0,763,759,260,151,52,152.6,false
0.9.2-incubating,26,4,0,23,23,259,151,64.75,5.75,false
0.9.2-incubating,443,10,0,428,315,303,151,30.3,42.8,false
0.9.2-incubating,13,1,0,13,13,151,151,151,13,false
0.9.2-incubating,80,1,0,80,80,3,3,3,80,false
0.9.2-incubating,145,1,0,145,145,3,3,3,145,false
0.9.2-incubating,218,4,0,162,80,116,75,29,40.5,false
0.9.2-incubating,469,6,0,299,149,121,75,20.166666,49.833332,false
0.9.2-incubating,48,3,0,48,16,45,33,15,16,false
0.9.2-incubating,90,3,0,90,30,49,33,16.333334,30,false
0.9.2-incubating,45,3,0,45,15,47,33,15.666667,15,false
0.9.2-incubating,60,3,0,60,20,53,33,17.666666,20,false
0.9.2-incubating,18,3,0,18,6,53,33,17.666666,6,false
0.9.2-incubating,237,3,0,237,79,53,33,17.666666,79,false
0.9.2-incubating,26,2,0,26,13,37,33,18.5,13,false
0.9.2-incubating,28,2,0,28,14,14,8,7,14,false
0.9.2-incubating,12,2,0,12,6,14,8,7,6,false
0.9.2-incubating,31,1,0,31,31,2,2,2,31,false
0.9.2-incubating,26,1,0,26,26,11,11,11,26,false
0.9.2-incubating,24,1,0,24,24,11,11,11,24,false
0.9.2-incubating,14,1,0,14,14,11,11,11,14,false
0.9.2-incubating,17,1,0,17,17,11,11,11,17,false
0.9.2-incubating,7,1,0,7,7,1,1,1,7,false
0.9.2-incubating,176,4,0,176,44,127,55,31.75,44,false
0.9.2-incubating,1360,4,0,1360,340,127,55,31.75,340,false
0.9.2-incubating,157,7,0,148,31,125,55,17.857143,21.142857,false
0.9.2-incubating,19,3,0,18,9,12,7,4,6,false
0.9.2-incubating,92,4,0,92,23,126,55,31.5,23,false
0.9.2-incubating,188,4,0,188,47,126,55,31.5,47,false
0.9.2-incubating,40,4,0,40,10,126,55,31.5,10,false
0.9.2-incubating,44,4,0,44,11,126,55,31.5,11,false
0.9.2-incubating,136,4,0,136,34,125,55,31.25,34,false
0.9.2-incubating,105,5,0,105,21,171,55,34.2,21,false
0.9.2-incubating,160,5,0,160,32,171,55,34.2,32,false
0.9.2-incubating,35,5,0,35,7,171,55,34.2,7,false
0.9.2-incubating,36,4,0,36,9,112,55,28,9,false
0.9.2-incubating,24,3,0,24,8,95,72,31.666666,8,false
0.9.2-incubating,386,8,0,311,95,121,28,15.125,38.875,false
0.9.2-incubating,43,5,0,41,12,96,28,19.2,8.2,false
0.9.2-incubating,582,14,0,411,148,167,28,11.928572,29.357143,false
0.9.2-incubating,493,14,0,351,133,167,28,11.928572,25.071428,false
0.9.2-incubating,611,19,0,443,177,185,28,9.736842,23.31579,false
0.9.2-incubating,24,3,0,24,8,63,28,21,8,false
0.9.2-incubating,21,3,0,21,7,63,28,21,7,false
0.9.2-incubating,42,3,0,42,14,63,28,21,14,false
0.9.2-incubating,91,4,0,83,37,82,27,20.5,20.75,false
0.9.2-incubating,90,5,0,68,32,91,27,18.2,13.6,false
0.9.2-incubating,34,3,0,26,13,57,27,19,8.666667,false
0.9.2-incubating,30,2,0,30,15,43,28,21.5,15,false
0.9.2-incubating,38,2,0,38,19,30,28,15,19,false
0.9.2-incubating,68,2,0,68,34,11,8,5.5,34,false
0.9.2-incubating,21,1,0,21,21,17,17,17,21,false
0.9.2-incubating,166,7,0,152,54,148,72,21.142857,21.714285,false
0.9.2-incubating,43,4,0,32,17,68,24,17,8,false
0.9.2-incubating,22,1,0,22,22,17,17,17,22,false
0.9.2-incubating,22,1,0,22,22,17,17,17,22,false
0.9.2-incubating,7,1,0,7,7,17,17,17,7,false
0.9.2-incubating,21,1,0,21,21,17,17,17,21,false
0.9.2-incubating,5,1,0,5,5,17,17,17,5,false
0.9.2-incubating,17,1,0,17,17,17,17,17,17,false
0.9.2-incubating,64,4,0,63,21,119,72,29.75,15.75,false
0.9.2-incubating,90,7,0,86,38,149,72,21.285715,12.285714,false
0.9.2-incubating,21,3,0,21,7,114,72,38,7,false
0.9.2-incubating,131,10,0,125,43,160,72,16,12.5,false
0.9.2-incubating,16,4,0,15,5,116,72,29,3.75,false
0.9.2-incubating,80,9,0,72,24,184,72,20.444445,8,false
0.9.2-incubating,51,3,0,51,17,114,72,38,17,false
0.9.2-incubating,18,3,0,18,6,101,72,33.666668,6,false
0.9.2-incubating,63,3,0,63,21,101,72,33.666668,21,false
0.9.2-incubating,15,3,0,15,5,101,72,33.666668,5,false
0.9.2-incubating,750,6,0,747,150,47,20,7.833334,124.5,false
0.9.2-incubating,94,4,0,93,33,104,72,26,23.25,false
0.9.2-incubating,88,7,0,84,28,142,72,20.285715,12,false
0.9.2-incubating,114,7,0,112,21,65,20,9.285714,16,false
0.9.2-incubating,62,10,0,57,10,76,20,7.6,5.7,false
0.9.2-incubating,30,5,0,30,6,51,20,10.2,6,false
0.9.2-incubating,158,11,0,132,41,67,20,6.090909,12,false
0.9.2-incubating,163,1,0,163,163,57,57,57,163,false
0.9.2-incubating,88,1,0,88,88,57,57,57,88,false
0.9.2-incubating,206,1,0,206,206,57,57,57,206,false
0.9.2-incubating,225,1,0,225,225,57,57,57,225,false
0.9.2-incubating,112,1,0,112,112,57,57,57,112,false
0.9.2-incubating,23,1,0,23,23,57,57,57,23,false
0.9.2-incubating,135,1,0,135,135,57,57,57,135,false
0.9.2-incubating,101,1,0,101,101,57,57,57,101,false
0.9.2-incubating,135,1,0,135,135,57,57,57,135,false
0.9.2-incubating,16,1,0,16,16,57,57,57,16,false
0.9.2-incubating,22,1,0,22,22,57,57,57,22,false
0.9.2-incubating,80,1,0,80,80,57,57,57,80,false
0.9.2-incubating,149,1,0,149,149,57,57,57,149,false
0.9.2-incubating,98,1,0,98,98,57,57,57,98,false
0.9.2-incubating,102,1,0,102,102,57,57,57,102,false
0.9.2-incubating,93,1,0,93,93,57,57,57,93,false
0.9.2-incubating,117,1,0,117,117,57,57,57,117,false
0.9.2-incubating,9,1,0,9,9,57,57,57,9,false
0.9.2-incubating,55,1,0,55,55,57,57,57,55,false
0.9.2-incubating,105,1,0,105,105,57,57,57,105,false
0.9.2-incubating,50,1,0,50,50,57,57,57,50,false
0.9.2-incubating,43,1,0,43,43,57,57,57,43,false
0.9.2-incubating,98,1,0,98,98,57,57,57,98,false
0.9.2-incubating,126,1,0,126,126,57,57,57,126,false
0.9.2-incubating,20,1,0,20,20,57,57,57,20,false
0.9.2-incubating,43,1,0,43,43,57,57,57,43,false
0.9.2-incubating,95,1,0,95,95,57,57,57,95,false
0.9.2-incubating,90,1,0,90,90,57,57,57,90,false
0.9.2-incubating,226,1,0,226,226,57,57,57,226,false
0.9.2-incubating,155,1,0,155,155,57,57,57,155,false
0.9.2-incubating,47,1,0,47,47,57,57,57,47,false
0.9.2-incubating,61,1,0,61,61,57,57,57,61,false
0.9.2-incubating,190,1,0,190,190,57,57,57,190,false
0.9.2-incubating,37,1,0,37,37,57,57,57,37,false
0.9.2-incubating,53,1,0,53,53,57,57,57,53,false
0.9.2-incubating,70,1,0,70,70,57,57,57,70,false
0.9.2-incubating,63,1,0,63,63,57,57,57,63,false
0.9.2-incubating,46,6,0,44,14,123,72,20.5,7.333334,false
0.9.2-incubating,475,5,0,334,163,140,75,28,66.8,false
0.9.2-incubating,274,7,0,190,88,142,75,20.285715,27.142857,false
0.9.2-incubating,701,5,0,483,206,141,75,28.2,96.6,false
0.9.2-incubating,629,3,0,450,225,136,75,45.333332,150,false
0.9.2-incubating,322,3,0,224,112,136,75,45.333332,74.666664,false
0.9.2-incubating,61,3,0,48,23,136,75,45.333332,16,false
0.9.2-incubating,382,3,0,280,135,136,75,45.333332,93.333336,false
0.9.2-incubating,283,3,0,210,101,136,75,45.333332,70,false
0.9.2-incubating,380,3,0,279,135,136,75,45.333332,93,false
0.9.2-incubating,38,3,0,32,16,136,75,45.333332,10.666667,false
0.9.2-incubating,55,3,0,44,22,136,75,45.333332,14.666667,false
0.9.2-incubating,333,5,0,243,98,140,75,28,48.6,false
0.9.2-incubating,267,7,0,209,102,142,75,20.285715,29.857143,false
0.9.2-incubating,290,6,0,218,93,142,75,23.666666,36.333332,false
0.9.2-incubating,374,6,0,278,117,139,75,23.166666,46.333332,false
0.9.2-incubating,20,3,0,18,9,136,75,45.333332,6,false
0.9.2-incubating,147,3,0,115,55,136,75,45.333332,38.333332,false
0.9.2-incubating,114,4,0,89,43,137,75,34.25,22.25,false
0.9.2-incubating,350,4,0,264,126,137,75,34.25,66,false
0.9.2-incubating,111,3,0,87,43,136,75,45.333332,29,false
0.9.2-incubating,267,4,0,201,95,137,75,34.25,50.25,false
0.9.2-incubating,6,2,0,4,4,14,9,7,2,false
0.9.2-incubating,10,2,0,8,8,14,9,7,4,false
0.9.2-incubating,42,4,0,36,15,16,7,4,9,false
0.9.2-incubating,253,10,0,154,80,82,35,8.2,15.4,false
0.9.2-incubating,848,11,0,396,260,154,35,14,36,false
0.9.2-incubating,676,8,0,286,160,128,35,16,35.75,false
0.9.2-incubating,413,6,0,137,131,71,18,11.833333,22.833334,false
0.9.2-incubating,418,6,0,165,111,71,18,11.833333,27.5,false
0.9.2-incubating,381,6,0,300,114,111,35,18.5,50,false
0.9.2-incubating,66,4,0,32,32,45,17,11.25,8,false
0.9.2-incubating,38,3,0,26,26,30,17,10,8.666667,false
0.9.2-incubating,67,3,0,35,35,45,18,15,11.666667,false
0.9.2-incubating,383,12,0,244,81,178,35,14.833333,20.333334,false
0.9.2-incubating,298,3,0,156,116,45,18,15,52,false
0.9.2-incubating,41,4,0,40,20,55,27,13.75,10,false
0.9.2-incubating,45,1,0,45,45,5,5,5,45,false
0.9.2-incubating,120,4,0,120,30,41,18,10.25,30,false
0.9.2-incubating,343,5,0,327,111,103,35,20.6,65.4,false
0.9.2-incubating,435,7,0,428,143,137,35,19.571428,61.142857,false
0.9.2-incubating,195,2,0,191,191,32,18,16,95.5,false
0.9.2-incubating,124,5,0,118,38,90,35,18,23.6,false
0.9.2-incubating,77,2,0,65,65,32,18,16,32.5,false
0.9.2-incubating,46,1,0,46,46,18,18,18,46,false
0.9.2-incubating,293,4,0,292,98,97,35,24.25,73,false
0.9.2-incubating,171,5,0,163,57,100,35,20,32.6,false
0.9.2-incubating,313,5,0,295,108,99,35,19.8,59,false
0.9.2-incubating,130,5,0,121,40,105,35,21,24.2,false
0.9.2-incubating,130,5,0,121,40,105,35,21,24.2,false
0.9.2-incubating,96,5,0,91,30,105,35,21,18.2,false
0.9.2-incubating,89,4,0,76,40,37,13,9.25,19,false
0.9.2-incubating,80,4,0,73,36,30,13,7.5,18.25,false
0.9.2-incubating,17,2,0,17,12,21,13,10.5,8.5,false
0.9.2-incubating,85,4,0,83,42,39,13,9.75,20.75,false
0.9.2-incubating,37,4,0,31,21,37,13,9.25,7.75,false
0.9.2-incubating,634,8,0,583,164,59,23,7.375,72.875,false
0.9.2-incubating,68,1,0,68,68,5,5,5,68,false
0.9.2-incubating,90,4,0,61,59,12,5,3,15.25,false
0.9.2-incubating,69,2,0,68,68,8,5,4,34,false
0.9.2-incubating,204,3,0,204,68,3,1,1,68,false
0.9.2-incubating,345,3,0,345,115,3305,1105,1101.6666,115,false
0.9.2-incubating,54,3,0,54,18,3305,1105,1101.6666,18,false
0.9.2-incubating,99,3,0,99,33,3305,1105,1101.6666,33,false
0.9.2-incubating,33,3,0,33,11,3305,1105,1101.6666,11,false
