@relation STORM_9-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {0.10.0}
@attribute 'LOC Touched' numeric
@attribute 'Number of Revisions' numeric
@attribute 'Number of Bug Fixed' numeric
@attribute 'LOC Added' numeric
@attribute 'Max LOC Added' numeric
@attribute 'Chg Set Size' numeric
@attribute 'Max Chg Set' numeric
@attribute 'Avg Chg Set' numeric
@attribute 'Avg LOC Added' numeric
@attribute Buggy {true,false}

@data
0.10.0,182,9,0,0,0,4621,1161,513.44446,0,true
0.10.0,400,12,2,120,16,5028,1161,419,10,true
0.10.0,5003,72,2,3472,450,7010,1161,97.361115,48.22222,true
0.10.0,736,9,0,433,63,4621,1161,513.44446,48.11111,true
0.10.0,195,15,1,64,18,4643,1161,309.53333,4.266667,true
0.10.0,73,9,0,42,21,4621,1161,513.44446,4.666666,true
0.10.0,1873,20,0,464,48,5994,1161,299.7,23.2,true
0.10.0,14,6,1,4,2,11455,2611,1909.1666,0.666667,true
0.10.0,16,4,1,0,0,9495,2611,2373.75,0,true
0.10.0,4,4,1,0,0,9495,2611,2373.75,0,true
0.10.0,25,5,1,0,0,10656,2611,2131.2,0,true
0.10.0,184,14,3,40,4,10266,2611,733.2857,2.857143,true
0.10.0,16,4,1,0,0,9495,2611,2373.75,0,true
0.10.0,34,17,1,10,2,13322,2611,783.64703,0.588235,true
0.10.0,310,22,1,86,13,14349,2611,652.2273,3.909091,true
0.10.0,460,22,1,111,17,14349,2611,652.2273,5.045454,true
0.10.0,44,7,2,29,7,10665,2611,1523.5714,4.142857,true
0.10.0,291,21,3,76,11,13339,2611,635.1905,3.619048,true
0.10.0,553,21,2,269,38,5716,1161,272.1905,12.809524,true
0.10.0,48,13,0,1,1,5109,1161,393,0.076923,true
0.10.0,56,5,1,52,52,10656,2611,2131.2,10.4,true
0.10.0,93,1,0,93,93,1161,1161,1161,93,true
0.10.0,117,1,0,117,117,1161,1161,1161,117,true
0.10.0,73,2,0,72,72,1960,1161,980,36,true
0.10.0,47,1,0,47,47,1161,1161,1161,47,true
0.10.0,54,1,0,54,54,1161,1161,1161,54,true
0.10.0,75,6,1,71,66,11455,2611,1909.1666,11.833333,true
0.10.0,105,1,0,105,105,1161,1161,1161,105,true
0.10.0,104,5,1,96,96,10656,2611,2131.2,19.2,true
0.10.0,110,2,0,97,97,1960,1161,980,48.5,true
0.10.0,98,2,0,93,93,1960,1161,980,46.5,true
0.10.0,80,7,1,66,66,12000,2611,1714.2858,9.428572,true
0.10.0,184,6,1,167,167,11455,2611,1909.1666,27.833334,true
0.10.0,41,1,0,41,41,1161,1161,1161,41,true
0.10.0,43,5,1,39,39,10656,2611,2131.2,7.8,true
0.10.0,78,7,1,64,64,12000,2611,1714.2858,9.142858,true
0.10.0,81,5,1,69,69,10656,2611,2131.2,13.8,true
0.10.0,26,1,0,26,26,1161,1161,1161,26,true
0.10.0,35,1,0,35,35,1161,1161,1161,35,true
0.10.0,68,5,1,60,60,10656,2611,2131.2,12,true
0.10.0,95,1,0,95,95,1161,1161,1161,95,true
0.10.0,86,2,0,85,85,1960,1161,980,42.5,true
0.10.0,143,2,0,139,139,1960,1161,980,69.5,true
0.10.0,101,1,0,101,101,1161,1161,1161,101,true
0.10.0,56,1,0,56,56,1161,1161,1161,56,true
0.10.0,31,1,0,31,31,1161,1161,1161,31,true
0.10.0,33,1,0,33,33,1161,1161,1161,33,true
0.10.0,37,1,0,37,37,1161,1161,1161,37,true
0.10.0,27,1,0,27,27,1161,1161,1161,27,true
0.10.0,30,1,0,30,30,1161,1161,1161,30,true
0.10.0,38,2,0,36,36,1960,1161,980,18,true
0.10.0,34,5,1,30,30,10656,2611,2131.2,6,true
0.10.0,25,1,0,25,25,1161,1161,1161,25,true
0.10.0,37,1,0,37,37,1161,1161,1161,37,true
0.10.0,285,2,0,227,179,1960,1161,980,113.5,true
0.10.0,292,6,1,268,263,11455,2611,1909.1666,44.666668,true
0.10.0,195,6,1,158,149,11455,2611,1909.1666,26.333334,true
0.10.0,59,5,1,55,55,10656,2611,2131.2,11,true
0.10.0,48,1,0,48,48,1161,1161,1161,48,true
0.10.0,91,5,1,63,63,10656,2611,2131.2,12.6,true
0.10.0,111,5,1,83,83,10656,2611,2131.2,16.6,true
0.10.0,117,5,1,81,81,10656,2611,2131.2,16.2,true
0.10.0,81,5,1,53,53,10656,2611,2131.2,10.6,true
