Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.09.5,storm-core/src/jvm/backtype/storm/ui/InvalidRequestException.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,storm-core/src/jvm/backtype/storm/testing/PythonShellMetricsSpout.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,storm-core/src/jvm/backtype/storm/testing/PythonShellMetricsBolt.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-kafka/src/jvm/storm/kafka/UpdateOffsetException.java,184,13,2,174,22,2328,435,179.07692,13.384615,true
0.09.5,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/TridentSequenceTopology.java,194,18,3,170,17,4020,519,223.33333,9.444445,true
0.09.5,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/TridentFileTopology.java,178,18,3,170,17,4020,519,223.33333,9.444445,true
0.09.5,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/FixedBatchSpout.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/rotation/TimedRotationPolicy.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/SequenceFormat.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/format/DefaultSequenceFormat.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/HdfsUpdater.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/HdfsStateFactory.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/trident/HdfsState.java,233,14,0,199,27,2855,519,203.92857,14.214286,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/rotation/RotationAction.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/rotation/MoveFileAction.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/rotation/TimedRotationPolicy.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/SequenceFormat.java,194,17,1,170,17,3096,519,182.11765,10,true
0.09.5,external/storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/DefaultSequenceFormat.java,170,10,0,170,17,2835,519,283.5,17,false
0.09.5,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseMapState.java,436,15,0,408,250,3001,519,200.06667,27.2,false
0.09.5,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/mapper/TridentHBaseMapper.java,211,10,0,211,49,2835,519,283.5,21.1,false
