Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.9.0.1,src/main/java/org/apache/storm/hdfs/trident/format/SequenceFormat.java,26,1,0,26,26,6,6,6,26,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/trident/format/DefaultSequenceFormat.java,5,1,0,5,5,6,6,6,5,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/trident/HdfsStateFactory.java,1,1,0,0,0,6,6,6,0,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/bolt/format/SequenceFormat.java,26,1,0,26,26,6,6,6,26,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/bolt/format/DefaultSequenceFormat.java,7,1,0,5,5,6,6,6,5,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/bolt/format/DefaultFileNameFormat.java,11,2,0,10,10,18,12,9,5,false
0.9.0.1,src/test/java/org/apache/storm/hdfs/trident/TridentSequenceTopology.java,78,4,0,70,69,22,12,5.5,17.5,false
0.9.0.1,src/test/java/org/apache/storm/hdfs/trident/TridentFileTopology.java,80,3,0,72,71,20,12,6.6666665,24,false
0.9.0.1,src/test/java/org/apache/storm/hdfs/trident/FixedBatchSpout.java,80,1,0,80,80,5,5,5,80,false
0.9.0.1,src/test/java/org/apache/storm/hdfs/bolt/SequenceFileTopology.java,198,3,0,192,192,20,12,6.6666665,64,false
0.9.0.1,src/test/java/org/apache/storm/hdfs/bolt/HdfsFileTopology.java,203,5,0,194,183,25,12,5,38.8,false
0.9.0.1,src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,8,3,0,0,0,14,9,4.6666665,0,false
0.9.0.1,src/jvm/storm/kafka/KafkaConfig.java,2,2,0,2,1,5,3,2.5,1,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/trident/format/FileNameFormat.java,2,1,0,2,2,12,12,12,2,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/trident/format/DefaultFileNameFormat.java,10,1,0,10,10,12,12,12,10,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/trident/HdfsState.java,56,5,0,21,17,24,12,4.8,4.2,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/bolt/format/FileNameFormat.java,2,1,0,2,2,12,12,12,2,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/bolt/SequenceFileBolt.java,12,3,0,5,5,19,12,6.3333335,1.6666666,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/bolt/HdfsBolt.java,21,5,0,11,5,22,12,4.4,2.2,false
0.9.0.1,src/main/java/org/apache/storm/hdfs/bolt/AbstractHdfsBolt.java,15,4,0,10,8,20,12,5,2.5,false
0.9.0.1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,718,26,0,523,110,1811,604,69.65385,20.115385,false
0.9.0.1,storm-core/src/jvm/backtype/storm/Config.java,636,28,1,537,317,1718,604,61.357143,19.178572,true
0.9.0.1,storm-core/src/jvm/backtype/storm/task/TopologyContext.java,204,19,0,178,24,982,604,51.68421,9.368421,false
0.9.0.1,src/test/java/backtype/storm/contrib/jms/spout/MockTupleProducer.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,src/test/java/backtype/storm/contrib/jms/spout/MockSpoutOutputCollector.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,src/test/java/backtype/storm/contrib/jms/spout/MockJmsProvider.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,src/test/java/backtype/storm/contrib/jms/spout/JmsSpoutTest.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,examples/src/main/java/backtype/storm/contrib/jms/example/SpringJmsProvider.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,examples/src/main/java/backtype/storm/contrib/jms/example/JsonTupleProducer.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,examples/src/main/java/backtype/storm/contrib/jms/example/GenericBolt.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,examples/src/main/java/backtype/storm/contrib/jms/example/ExampleJmsTopology.java,17,1,0,17,17,17,17,17,17,false
0.9.0.1,src/jvm/storm/kafka/KafkaSpout.java,2,1,0,0,0,1,1,1,0,false
0.9.0.1,src/test/storm/kafka/StringKeyValueSchemeTest.java,38,1,0,38,38,9,9,9,38,false
0.9.0.1,src/test/storm/kafka/KafkaUtilsTest.java,144,6,0,126,40,46,12,7.6666665,21,false
0.9.0.1,src/jvm/storm/kafka/StringScheme.java,8,1,0,6,6,9,9,9,6,false
0.9.0.1,src/jvm/storm/kafka/StringKeyValueScheme.java,20,1,0,20,20,9,9,9,20,false
